chichewa,reference_en,predicted_en,predicted_hi
mungathenso kuyimba foni pa nambala yowona za compliance ya alliance one kuchokera kwina kuli konse kumene muli pa dziko lonse lapansi kudzera ku nambala ya ulere kapena pa webu sayiti,you may also access alliance one’s compliance helpline from each of our locations worldwide through either the toll-free telephone number or the website,You can also call on aventiance telephone to see from elsewhere in the world by means of a free number or a credit card number,आप मुफ्त संख्या या क्रेडिट कार्ड नंबर के ज़रिए दुनिया - भर में कहीं से देख सकते हैं ।
kukolana kwa zofuna za munthu ndi kampani kumachitika pamene zofuna zamunthu zikuwoneka kuti zikukhulana ndi zochita za kampani,a conflict of interest occurs when an individual’s private interest interferes– or has the appearance of interfering – with the interests of the company as a whole,The conflict between individuals and companies takes place when one's demands seem to fit in with the company's activities,व्यक्ति और कंपनियों के बीच संघर्ष जब एक की मांग कंपनी के कार्यों के साथ फिट प्रतीत होता है
"kukolanaku kungathe kukula ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira apanga zinthu zimene zingapangitse kugwira ntchito kwake bwino bwino kuti kusokonezeke","a conflict situation can arise if a director, officer, employee, or agent takes actions or has interests that may make it difficult to perform his or her job objectively and effectively","It can grow in size if the director, officer, worker, or helper makes things work out as well as his work so as not to get out of control","यह आकार में बढ़ सकता है यदि निर्देशक, अधिकारी, कारीगर, या सहायक काम करता है, साथ ही उसके कार्य को नियंत्रण से बाहर नहीं निकलने के लिए"
"mkangano ungakhalepo ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira kapena a pa banja lake alandila ma benefiti molingana ndi ntchito yake ku kampani","conflicts of interest also arise if a director, officer, employee, agent or a member of his or her family, receives improper personal benefits as a result of his or her position with the company","A conflict may exist if the director, an officer, an employee or a helper or a member of his family were to be adopted according to his work at the company","अगर अधिकारी, कर्मचारी या सहायक या अपने परिवार के किसी सदस्य को कंपनी में अपने काम के मुताबिक गोद लिया जाए, तो हो सकता है वह विरोध का सामना कर रहा हो"
"kugulitsa masheya, kuphumitsa kampani mwayi wa bizinesi, kupanga bizinesi ndi zina mwa zinthu zomwe zingapangitse kuti pakhale kukolana pakati pazofuna zanu ndi zakampani","securities trading, corporate opportunities and outside employment, business interests & investments are examples of specific issue-areas where you may encounter conflicts of interest","The market, the company's promotion of business opportunities, the business industry, and some of the factors that can contribute to the tension between your wishes and your company","बाजार, व्यापार अवसरों, व्यापार उद्योग, और कुछ कारणों के कंपनी की प्रगति है कि आप और अपनी कंपनी के बीच तनाव में योगदान दे सकते हैं"
zinthu zomwe zingapangitse kuti pakhale kukolana zikuyenera kunenedwa polemba kalata kwa ccdcco kapena clo komanso mapepala ake onse akuyenera kuperekedwa molingana ndi malamulo,"potential conflicts of interest and related party transactions must be disclosed in writing to the ccd or clo, and properly documented per company policy",The reasons for the gathering should be written in a letter to ccdcco or clo as well as all its paper should be given according to legal requirements,"इकट्ठा होने के कारण को कोशको या कोलो को, साथ ही इसके सारे कागज को कानूनी माँगों के अनुसार दिया जाना चाहिए"
kukhala ndi zinthu zopangitsa kuti pakhale kukolana sikuswa malamulo athu akagwiridwe ka ntchito koma kulephera kunena ku kampani za zinthuzo,"having a conflict of interest is not necessarily a violation of our code of business conduct, but failing to disclose it is",Having things to make a difference does not violate our rules when they work but fail to talk to the company of things,"जब हमारे काम में कोई फर्क पड़ता है, तो हम अपने नियमों का उल्लंघन नहीं करते बल्कि मामलों की संगति से बात करने से चूक जाते हैं"
wotheka ndi wowona,potential or actual,Possible and true,संभावित और सही
"zolengeza chiongola dzanja kapena zongoyerekeza, kusintha, zimene zinalengezedwa kale kapena zongoyerekeza;","earnings announcements or estimates, or changes to previously released announcements or estimates;","Proclaimers can make a hand or an estimate, change, that was already announced or illustrated;","राज्य उद्‌घोषक एक हाथ या अनुमान, परिवर्तन कर सकते हैं जो पहले ही घोषित किया गया था या सचित्रित किया गया था;"
zotsatira za chuma;,financial results;,The result of wealth;,माल बहुत से बेटे रखता है
zolembedwa ndi zowonjezeredwa ku ngongole zamgonagona;,write-downs and additions to reserves for bad debts;,Writings and additions to debt are sleeping;,कि तुम भी तुला में सीमा का उल्लंघन न करो
kukuza kapena kuchepetsa magwiridwe a ntchito;,expansion or downsizing of operations;,to expand or reduce work activity;,काम को बढ़ाने या कम करने के लिए
"katundu wa tsopano, zopangidwa ndi zozindikiridwa mwatsopano;","new products, inventions or discoveries;","The goods now, made with new understanding;",अब सामान नई समझ के साथ बनाया है।
milandu yayikulu kapena zochita za boma,major litigation or government actions;,Serious or governmental cases,गंभीर या सरकारी मामले
"kuphatikizana zogulidwa, zonenera malonda, kugwirira ntchito limodzi ndi makampani ena kapena zosintha ku katundu wa kampani;","mergers, acquisitions, tender offers, joint ventures or changes in assets;","linking shopping, advertising, working with other companies or changing company property;","खरीदारी करना, विज्ञापन देना, अन्य कंपनियों के साथ काम करना या कंपनी की संपत्ति बदल देना;"
kusintha kwa oyendetsa kampani ndi njira zatsopano,events regarding the company’s securities,A change in company management is new,कंपनी प्रबंधन में एक परिवर्तन नया है
zokhudza kayendetsedwe ka kampani;,changes in control of the company or extraordinary management developments;,with regard to company control;,कंपनी नियंत्रण के बारे में
kubwereka ndalama kopitiriza muyeso;,extraordinary borrowing;,to borrow too much; to borrow too much,"बहुत ज्यादा उधार लेने के लिए, बहुत ज्यादा उधार लेने के लिए"
vuto la kapezedwe ka ndalama,liquidity problems; and,The problem of obtaining money,पैसा कमाने की समस्या
zosintha za ma auditor kapena chidziwitso cha kampani chochokera kwa auditor kuti kampani siyingadalirenso lipoti ya auditor,changes in auditors or auditor notification that the company may no longer rely on an audit report,The changes in the stock or company's knowledge of a company from critics that the company can no longer rely on a professional report,शेयर या कंपनी के ज्ञान में परिवर्तन... ...कि कंपनी अब पेशेवर रिपोर्ट पर भरोसा नहीं कर सकते
zimaononga madera amene tikugwirako ntchito,it harms the communities where we operate,ruining our place of work,हमारे काम की जगह बर्बाद कर रहे हैं
tikuyenera kutenga nawo mbali pa njira zothandiza kuthetsa ziphuphu,we must actively support efforts to stop bribery,We need to take part in effective measures to combat corruption,भ्रष्टाचार से लड़ने के लिए हमें प्रभावकारी क़दम उठाने की ज़रूरत है
aliyense wa ife ayenera kutsatira malamulo onse odana ndi ziphuphu,each of us must strictly comply with all domestic and extraterritorial anti-bribery laws,Each of us must comply with all the laws against corruption,हम में से हरेक को भ्रष्टाचार के विरुद्ध सभी नियमों का पालन करना चाहिए
awa ndi malamulo a dziko limodzi amene amaletsa katangale mu mayiko ena,extraterritorial anti-bribery laws are the laws of one country that prohibit bribery in other countries,These are the laws of one country that forbid corruption in other countries,ये एक देश के कानून हैं जो दूसरे देशों में भ्रष्टाचार को बढ़ावा देता है
"ngakhale ziphuphu ndi kuswa malamulo ndikulakwira malamulo a kampani, chiphuphu chitaperekedwa kwa wogwira ntchito m’boma kapena munthu wamba, kasitomala kapena sapulaya, wogwira ntchito ku alliance one akuyenera kudziwa zimenezi","although bribery is illegal and against company policy regardless of whether the bribe is offered to a government official or a private citizen, customer or supplier, unique concerns exist in each instance that alliance one employees need to be aware of","Even if corruption and corruption are a violation of company laws, a bribe could be offered to a government worker or a public worker, a customers or a carpenter, an employee at avenance view should know this","अगर भ्रष्टाचार और भ्रष्टाचार कंपनी के नियमों का उल्लंघन है, तब भी सरकार के कर्मचारी या जनता को घूस दिया जा सकता है ।"
"ndalama zofanana ndi ndalama, kapena ma benefiti (ma travelling cheque ndi ma benefiti);","cash, cash equivalents, or other benefits (travelers checks, travel benefits);","Money similar to money, or verbs (travelling reques and verbs);","पैसा, पैसे या क्रिया से मिलता - जुलता (प्रयोग और क्रिया - क्रिया);"
ntchito zopanga munthu yekha;,personal services;,Man - made work;,मनुष्य - निर्मित कार्य;
ntchito kapena kupatsidwa,employment or the offer of employment;,work or receiving,कार्य या प्राप्त करना
kuthandiza wosowa ukudziwa kuti upindulepo;,charitable contributions for the benefit of the official;,Helping the needy knows that you will benefit;,और तुम इस क़दर ग़ाफ़िल हो तो ख़ुदा के आगे सजदे किया करो
zopereka kundale ; ndi,political contributions; and,magazines to politics; and,राजनीति के लिए पत्रिकाएँ; और
"kugwiritsa ntchito katundu wa kampani (kuphatikizapo ndege, nyumba, magalimoto, maboti, ndi zina zotere","use of the company’s facilities (including but not limited to aircraft, houses, vehicles, boats, etc","The use of company property (including airplanes, homes, cars, boats, and so on)","कंपनी की संपत्ति (जिसे हवाई - जहाज़, घर, गाड़ियों, नाव, नाव, इत्यादि भी शामिल हैं) का प्रयोग"
) ndi wogwira ntchito m’boma kapena a ntchito awo kuti atukule ndi kuwonetsa katundu wa kampani ndi ntchito zake,") by government officials or their staff other than for purposes of promoting, demonstrating or explaining the company’s products or services",• With a government worker or their employees to protect themselves and to demonstrate the property of the company and its services,• एक सरकारी कर्मचारी या कर्मचारियों के साथ अपनी रक्षा करने के लिए और कंपनी और उसकी सेवाओं की संपत्ति प्रदर्शित करने के लिए
kuba ndalama kumachitika pamene munthu atenga zimene wazipeza atalakwa kuti ziwoneke ngati sizinapezeke munjira yolakwika,money laundering occurs when persons try to make the proceeds of crime appear legitimate by filtering them through non-criminal ventures,Money theft occurs when a person takes what he finds when he makes a mistake in order to make it appear that he has not been found in the wrong way,जब एक व्यक्‍ति चोरी करता है तब वह मिल जाता है जब वह ग़लती करता है ताकि उसे पता चलता है कि उसे ग़लत तरीक़े से नहीं पाया गया है
malamulo a mu mayiko ambiri amaletsa dala kugwiritsa ntchito zinthu zimene zapezeka munjira yolakwika,laws in many countries prohibit acceptance or use of the proceeds of criminal activities,Laws in many countries forbid the misuse of information that has been found wrong,"बहुत - से देशों में कानून, जानकारी के गलत इस्तेमाल से दूर रहते हैं"
mukuyenera kutsatira malamulo onse amene akukamba za kuba ndalama ndi malamulo amene akufuna kuti inu munene pamene mwaona ndalama ndi zinthu zina zolakwika,you must comply with all applicable money laundering laws and laws that require reporting of cash and other suspicious transactions,Why not comply with all the laws on stealing money and the laws that he wants you to say when you see money and the wrong things,पैसे और नियमों को चोरी करने के बारे में सभी नियमों का पालन क्यों न करें जिन्हें वह चाहता है कि आप यह कहें कि जब आप पैसा और ग़लत चीज़ें देखते हैं
"mukuyenera kupeza zokwanira pa makasitomala, ma sapulaya ndi ena amene mukuchita nawo bizinesi kuti mudziwe kumene ndalama zawo zikuchokera kumabizinesi ovomerezeka","you must use due diligence to obtain enough information about customers, suppliers, and others with whom you have business relationships to be satisfied that their money comes from legitimate business activities","you have to get enough from customers, colleges, and other business associates to find out where their money comes from a legitimate business","आप ग्राहकों, कॉलेजों, और अन्य व्यापार साथियों से पर्याप्त पाने के लिए है पता लगाने के लिए जहां उनके पैसा एक वैध व्यापार से आता है"
mukuyenera kutsatira malamulo onse okhudzana ndi ndalama,you must comply with all rules concerning acceptable forms of payment,to the extent that you live by all rules related to money,आप पैसे से जुड़े सभी नियमों के अनुसार रहते हैं
ndi zosavomerezeka ndi malamulo a kampani kulandira ndalama ndi ma invoice,it is against company policy to accept cash payment of any invoice,magazines that are unacceptable to the company's policy of making money and invoices,पत्रिकाएँ जो कंपनी की नीति के प्रति अस्वीकार्य हैं पैसे और भाषा में निर्माण करने की नीति
"ndipo ndi zosavomerezeka ndi lamulo la kampani, pokha pokha ngati pali china chake ndiponso ndi ulangizi wa zamalamulo wa kampani, kulandira ndalama monga ngati ma money order kapena ma travelling cheque kapena kulandira ndalama kwa amene simukumudziwa","it is also against company policy, except under extraordinary circumstances with the approval of the ccd, to accept payments in cash equivalents such as money orders or travelers checks, or to accept checks from unknown third parties","and illegal is the law of the company alone if there is something else and the company's legal system, accepting money such as money orders or travelling cheques or getting money from someone you do not know","और केवल कंपनी का कानून है... ... कुछ और और कंपनी की कानूनी व्यवस्था, पैसा या यात्रा के आदेशों के रूप में या किसी से पैसे प्राप्त करने के लिए या किसी से पैसे पाने के रूप में स्वीकार करें..."
ngati ndalama zoterozo ndizovuta kuzipewa mulandire chilolezo kuchokera kwa ofisala wa ku kampani ndikutsatila zonse zimene zikugwilizana ndi malamulo a united states internal revenue service,"if a cash or similar transaction is unavoidable, you must take care to comply with the detailed and complex reporting obligations associated with such transactions, including obligations imposed by the united states internal revenue service","If such money is hard to avoid getting permission from a company official and all that is involved with the law of law, you may be able to avoid getting a license from a company officer and pay off all that is in contact with the law of law of law in the past.","अगर ऐसा पैसा एक कंपनी अधिकारी से और कानून के कानून से जुड़े सभी लोगों को इजाज़त देने से दूर रहना मुश्‍किल है, तो आप शायद कंपनी के अफसर से लाइसेंस लेने से दूर रह जाएँ और उन सब को जो कानून के कानून के खिलाफ हैं ।"
"mukuyenera kuwonetsetsa kuti makasitomala wonse, ma sapulaya, ndi ena wonse amene mumachita nawo bizinesi ali wololera kusunga zonse zoyenera ndikupereka malipoti","you must to the extent possible be sure all customers, suppliers, and others with whom you have a business relationship are willing to comply in full with all record keeping duties and are willing to accurately report all aspects of a transaction","you should make sure that all customers, managers, and the rest of your business partner are willing to keep all the information and report","आपको सुनिश्चित करना चाहिए कि सभी ग्राहक, प्रबंधक, और आपके व्यापार साथी सभी जानकारी और रिपोर्ट रखने के लिए तैयार हैं"
dziwani ndi kuchita monga mwa malamulo,know and live the standards,Know and act in harmony with the law,कानून के मुताबिक काम करना और उसके मुताबिक काम करना
podziwa ndikumvetsetsa ndikulondola malamulo a kampaniwa ndi zimene zingatipangitse kukhala a chitsanzo,"by knowing, understanding, and following applicable laws and company policies, as well as our core values, each of us can serve as a role model",Knowing and applying the company's rules is what will make us exemplary,कंपनी के नियमों को जानना और लागू करना हमें आदर्श बनाने के लिए होगा
dziwani lamulo ndikufunsa mafunso,know the law and ask tough questions,Get to know the law and ask questions,कानून जानने और सवाल पूछने के लिए आइए
mukuyenera kudziwa malamulo amene akukhudzana ndi ntchito ndi udindo wanu,you are expected to be familiar with the laws that apply to your specific job function and level of responsibility,need to know what rules are involved with work and responsibility,"काम और ज़िम्मेदारी के साथ कौन - से नियम शामिल हैं, यह जानने की ज़रूरत है"
"ngati simukudziwa lamulo la kampani, ngati lilipo, funsani a cco kapena ccm a kampani yanu","if you are not sure whether a law or company policy applies, or whether it exists at all, ask the company’s chief legal officer or ccd","If you do not know the law of the company, if available, consult your company's credit card or picture","अगर आप कंपनी के कानून नहीं जानते, तो अपने कंपनी के क्रेडिट कार्ड या तस्वीर की सलाह लें"
musamangoganizira zinthu,don’t make assumptions,Keep your mind focused on things,अपना ध्यान बातों पर लगाए रखिए
musaganize kuti akulu akulu akudziwa kapena sakusamala za chinthu china choncho muyenera kufunsa kuti mudziwe,do not assume that management already knows or doesn’t care about an issue or situation,"Do not assume that the elders do not know or care about something, so you need to ask for knowledge","यह मत सोचिए कि प्राचीन किसी चीज़ के बारे में नहीं जानते या उनकी परवाह नहीं करते, इसलिए आपको ज्ञान माँगने की ज़रूरत है"
"komanso, musaganize kuti china chake sichikonzedwa","also, do not assume that no action will be taken","and, don't think something isn't planned","और, कुछ योजना नहीं है लगता नहीं है"
akulu akulu a aoi ndi wodzipereka kuwonetsetsa kuti za malamulo zimene zikuyenera kuchitika zikutsatidwa,aoi management is dedicated to ensuring that the standards of legal and ethical behavior are upheld,The local elders are willing to make sure that the laws that should be met,स्थानीय प्राचीन यह निश्‍चित करने के लिए तैयार हैं कि जो नियम मिलते हैं उन्हें पूरा किया जाना चाहिए
tifuna mutiwuze ngati pena palakwika,we want you to tell us if something is wrong,We want to tell us if something goes wrong,हम हमें बताना चाहते हैं अगर कुछ गलत हो जाता है
"musangoyang’anira zolakwikazi, mukanene","don’t ignore violations, report them","Do not be overly critical of them, telling them",उनसे हद - से - ज़्यादा की माँग मत कीजिए
tikuyenera kuyika pa mtima malamulo akampani,we all need to take the law and company policies seriously,We should be honest with the company's laws,हम कंपनी के नियमों के साथ ईमानदार होना चाहिए
"ngati mukuwona kuti wina akuphwanya malamulowa, tsatirani njira zoyenera kuti muzikonze","if you think someone may be violating a law or policy, please take steps to address the situation","If you feel that someone is breaking these rules, take appropriate steps to correct them","अगर आपको लगता है कि कोई इन नियमों को तोड़ रहा है, तो उन्हें सुधारने के लिए सही कदम उठाइए"
"nenani kwa ccd a kampani kapena kwa manijala wowona za compliance wa mu dera lanu, wowona za audit mu bodi ya ma dayilekitala kapena yimbani foni panambala ya ulere (mobisa ngati simukufuna kudziwika)","report it to management, the ccd, your local compliance manager, the audit committee of the board of directors, or the compliance helpline (anonymously if you wish)","Talk to a company director or to a local company manager, an auditist in a credit card or phone call on a free telephone (in secret if you don't want to be known)","कंपनी के निर्देशक से बात करें या स्थानीय कंपनी प्रबंधक से बात करें, एक क्रेडिट कार्ड या फोन पर एक मुफ्त टेलिफोन कॉल (या अगर आप ज्ञात नहीं है)"
musakakamizidwe,don’t be pressured,Do not be pressured,दबाव नहीं किया जा सकता
"sikololedwa kuphwanya lamulo, kapena kukakamizidwa kuti mutero – ngakhale kuphwanya lamulo kungathandize kuti mukwaniritse zolinga zanu","it is never acceptable to violate a law or policy, nor should you ever feel encouraged or pressured to do so – even if you think the violation will improve the bottom line or help to meet a performance goal","not being punished with law, or being forced to do so even if it is illegal can help you reach your goals","कानून के मुताबिक सज़ा नहीं दी जा सकती, फिर चाहे वह गैरकानूनी हो या गैरकानूनी हो, आप अपने लक्ष्यों तक पहुँचने में आपकी मदद कर सकते हैं"
"tiyi ndi imodzi mwa mbewu zothandiza ku mwera ndi kum'mawa kwa afilika, ndipo imathandiza alimi ambiri kupeza ndalama","tea is one of the most important agricultural crops in east and southern africa, and is a source of income for countless smallholder farmers","A cup of tea is one of the most useful plants in the south and east of a breakfast, and it helps many farmers to earn money","एक कप चाय, दक्षिण और एक नाश्‍ते के पूर्व में सबसे उपयोगी पौधों में से एक है, और यह अनेक किसानों को पैसा कमाने में मदद करता है"
"koma ngati alimi satsatira ndondomeko yoyenerera pa ulimi wa mbewuyi, chilengedwe, madzi ndi nthaka zimawonongeka, komanso ogwira ntchito pa mundapo amavutika","however, if unsustainable practices are allowed to continue, they will contaminate the environment, exhaust the water or soil, and exploit the workers","On the other hand, if farmers fail to maintain proper order on agriculture, the environment, the water, and the soil are damaged, as well as the work force at the farm","दूसरी ओर, यदि किसान खेती - बाड़ी, वातावरण, पानी, और मिट्टी को नष्ट कर देती है, और साथ ही खेती पर काम - काज बल को कमज़ोर कर देते हैं"
choncho ulimi wa tiyi umenewo si umapitiliranso,"such way, tea production cannot be sustained in the long run",So the sugar crop is no longer grown,सो गन्‍ने की फसल अब बढ़ गयी नहीं है
kugwiritsa ntchito mankhwala si njira yokhayo yotetezela mbewu ku tizilombo ndi matenda,use of pesticide is not the only way to control pests and diseases,Drug use is not the only way to protect crops against insects and disease,कीड़ों और बीमारियों से लड़ने के लिए दवाओं का इस्तेमाल करना ही एकमात्र तरीका नहीं है
"ngati tiyi akusamalidwa bwino mu afilika, atha kupilira ku tizilombo popanda kuthira mankhwala","when tea bushes are maintained strong and healthy in africa, they should be able to outgrow short-term pest infestations, without applying chemicals","If a cup of tea is well cared for, it can be transmitted to insects without being treated","यदि एक कप चाय की अच्छी तरह देखभाल की जाती है, तो इसे बिना इलाज किए कीड़ों में मिलाया जा सकता है"
kupopera mankhwala kukhoza kuwononga chitetezo cha mbewu ndikupangitsa kuti matenda ayambe,spraying would kill the natural enemies of pests and could allow epidemics to develop,spraying can damage crops's safety and cause disease,जाँच से फसल की सुरक्षा भंग हो सकती है और बीमारी का कारण बन सकती है
"mu gawo limeneli, tiphunziramo za m'mene tingapewere matenda ndi tizilombo","in this section, we learn about how to manage pests and diseases in a sustainable way","in this area, we will learn how to prevent disease and insects","इस क्षेत्र में, हम रोग और कीड़ों को रोकने के लिए कैसे सीख सकते हैं"
"ngati mwabzala phata latsopano la tiyi, musankhe mbewu za tiyi zomwe zimapilira ku matenda ndi tizilombo tomwe timaononga tiyi","when you plant a new tea bush, choose clones that are resistant to pests and diseases, such as mites and helopeltis","If you have planted a new cup of tea, choose some tea seeds that are resistant to disease and bacteria that damage a cup of tea","यदि आपने चाय का नया प्याला लगाया है, तो कुछ चाय के बीज चुनिए जो बीमारी और जीवाणुओं से जूझ रहे हैं जो एक कप चाय को क्षति पहुँचाते हैं"
ndibwino kubzala mbewu zambiri za tiyi osakhala imodzi yokha,"it is better to plant several clones, instead of just one clone",It is good to plant more than one cup of tea,एक से ज़्यादा चाय बनाना अच्छा है
"ngati mwabzala mbewu za tiyi zosiyana, muzibzale mtundu uliwonse padera kuti musavutike pozisamalira","when planting several clones, plant them in blocks of pure stands for easier management","If you have planted different cups of tea, make sure that you have a balanced diet","अगर आपने चाय के अलग - अलग प्याले लगाए हैं, तो निश्‍चित कीजिए कि आपके पास संतुलित आहार है"
"ngati mundawo unagwidapo ndi matenda owononga mizu, matendawa atha kukhala kuti atsalira mu mitengo imene idakali m'mundamo","if the field had been previously infested by a root disease, such as armillaria, the disease can still be hosted in the roots of remaining trees","If the garden has ever been infected with root disease, the disease may remain in trees still in the garden","अगर बाग में जड़ से बीमारी फैली हुई है, तो यह बीमारी अब भी बाग में पेड़ों में बनी रहती है"
"choncho, ndikoyenera kuti matendawa athetsedwe pogwiritsa ntchito njira yosadzula mitengo","therefore, they need to be eliminated through a method called “ring barking” which is removal of the back around the tree to kill the pathogen in the roots","Thus, it is only reasonable that the disease will be eliminated by means of a way that does not cut down trees","इस प्रकार, यह केवल तर्कसंगत है कि इस बीमारी को एक ऐसे तरीक़े से नष्ट किया जाएगा जो पेड़ों को काट नहीं डालता"
iyi ndi njira imene mumasadzula makungwa a mtengo,"mulching and maintaining a good canopy prevent the light from reaching the ground, hence controlling the weed growth",This is the way you cut down the bark of a tree,आप एक पेड़ की छाल काट जिस तरह से है
kuphimba tiyi komanso kuonetsetsa kuti phata la tiyi liri pa mlingo wabwino zimathandizila kuti dzuwa lisaombe pa nthaka,weeding with a hoe could damage the roots of the tea bushes,Covering a cup of tea as well as making sure that the root of tea is in good condition helps to prevent the sun from beating on the ground,"चाय को एक कप से ढकना, साथ ही यह निश्‍चित करना कि चाय की जड़ अच्छी स्थिति में है, सूरज को मारने से रोकने में मदद करता है"
izi zimathandizira kuti zomera zosafunikira zisamele,it is better to pull out weeds by hand,This helps to prevent unwanted plants from growing,यह पौधों को बढ़ने से बचाने में मदद करता है
ndibwino kupalira ndi manja chifukwa kupalira ndi khasu kumathanso kuwononga mizu ya tiyi,moles and rats that damage the roots of tea bushes,"It may also be necessary to hold your hands in check, which can damage the roots of tea","यह भी ज़रूरी हो सकता है कि आप अपने हाथों को जाँचकर जाँच करें, जो चाय की जड़ों को क्षति पहुँचा सकता है"
