id,chichewa,reference_en,baseline_hi,augmented_hi,choice,notes
19,"zolengeza chiongola dzanja kapena zongoyerekeza, kusintha, zimene zinalengezedwa kale kapena zongoyerekeza;","earnings announcements or estimates, or changes to previously released announcements or estimates;","राज्यउद्‌घोषकएकहाथयाअनुमान, परिवर्तनकरसकतेहैंजोपहलेहीघोषितकियागयाथायासचित्रितकियागयाथा;","राज्यउद्‌घोषकएकहाथयाकल्पनाकरसकतेहैं, जोपहलेहीघोषितकियागयाथायासचित्रितकियागयाथा;",,
31,zimaononga madera amene tikugwirako ntchito,it harms the communities where we operate,हमारेकामकीजगहबर्बादकररहेहैं,हमारेकामकातबाहहोना,,
74,"mu gawo limeneli, tiphunziramo za m'mene tingapewere matenda ndi tizilombo","in this section, we learn about how to manage pests and diseases in a sustainable way","इसक्षेत्रमें, हमरोगऔरकीड़ोंकोरोकनेकेलिएकैसेसीखसकतेहैं","इसक्षेत्रमें, हमदेखेंगेकिहमरोगऔरकीड़ोंसेकैसेबचसकतेहैं",,
34,awa ndi malamulo a dziko limodzi amene amaletsa katangale mu mayiko ena,extraterritorial anti-bribery laws are the laws of one country that prohibit bribery in other countries,येएकदेशकेकानूनहैंजोदूसरेदेशोंमेंभ्रष्टाचारकोबढ़ावादेताहै,येएकदेशकेकानूनहैंजोदूसरेदेशोंमेंभ्रष्टाचारकोबढ़ावादेताहै,,
91,mukapopela mankhwala tizilombo pamodzi ndi mbalame zomwe zimafa,spraying insecticide would kill not only aphids but also ladybirds,कीड़ोंकेसाथ - साथपक्षियोंकोभीजानाजाताहैजोमरजातेहैं,कीड़ोंकेसाथ - साथपक्षियोंकोभीइकट्ठाकरनाजोमरजातेहैं,,
5,koma chikhumbokhumbo chopambana ndi kukwaniritsa kasitomala chimayamba ndikutsirizika ndi kudzipereka kwathu potsatila malamulo ndi kuchita mwachilungamo ndipo ngati kampani imene ikupezeka pa dziko lonse lapansi tikuyenera kupanga ndikutsatira malamulo amene akonzedwa a padziko lonse,but our quest for competitive excellence and customer satisfaction begins and ends with our commitment to lawful and ethical conduct and as a global company we must create and follow a set of global rules,लेकिनएकतीव्रइच्छाऔरएकग्राहककेसंतोषऔरकानूनकेप्रतिहमारीभक्‍तिमेंआरंभऔरसमाप्तहोजानाचाहिएऔरवहकंपनीजोसंसारभरमेंउपलब्धहैऔरउनअंतर्राष्ट्रीयनियमोंकापालनकरनाचाहिएजोबनाईजातीहैं,लेकिनकानूनीअधिकारऔरन्यायकेप्रतिहमारीभक्‍तिऔरअंतमेंग्राहकोंकीबड़ीइच्छाऔरसंतुष्टिशुरूहोतीहैऔरअगरदुनियाभरमेंमौजूदकंपनीकेनियमोंकापालनकरतीहैऔरइसकेबादअंतर्राष्ट्रीयकानूनबनाएजातेहैं,,
77,"ngati mwabzala mbewu za tiyi zosiyana, muzibzale mtundu uliwonse padera kuti musavutike pozisamalira","when planting several clones, plant them in blocks of pure stands for easier management","अगरआपनेचायकेअलग - अलगप्यालेलगाएहैं, तोनिश्‍चितकीजिएकिआपकेपाससंतुलितआहारहै","औरउनकेपासनिगाहेंबचाएरखनेवालीस्त्रियाँहोंगी, जोसमानअवस्थाकीहोंगी",,
78,"ngati mundawo unagwidapo ndi matenda owononga mizu, matendawa atha kukhala kuti atsalira mu mitengo imene idakali m'mundamo","if the field had been previously infested by a root disease, such as armillaria, the disease can still be hosted in the roots of remaining trees","अगरबागमेंजड़सेबीमारीफैलीहुईहै, तोयहबीमारीअबभीबागमेंपेड़ोंमेंबनीरहतीहै","अगरबागमेंजड़सेबीमारीफैलीहुईहै, तोयहबीमारीउनपेड़ोंमेंभीहोसकतीहैजोआजभीमैदानमेंहैं",,
13,"kukolanaku kungathe kukula ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira apanga zinthu zimene zingapangitse kugwira ntchito kwake bwino bwino kuti kusokonezeke","a conflict situation can arise if a director, officer, employee, or agent takes actions or has interests that may make it difficult to perform his or her job objectively and effectively","यहआकारमेंबढ़सकताहैयदिनिर्देशक, अधिकारी, कारीगर, यासहायककामकरताहै, साथहीउसकेकार्यकोनियंत्रणसेबाहरनहींनिकलनेकेलिए","यहबढ़सकताहैयदिएकप्राचीन, एककर्मचारी, याएकसहायककामकरताहैअपनेकामकेसाथकामकरताहैताकिवहनियंत्रणखोनदे",,
32,tikuyenera kutenga nawo mbali pa njira zothandiza kuthetsa ziphuphu,we must actively support efforts to stop bribery,भ्रष्टाचारसेलड़नेकेलिएहमेंप्रभावकारीक़दमउठानेकीज़रूरतहै,भ्रष्टाचारकासामनाकरनेकेलिएहमेंअसरदारतरीकेसेहिस्सालेनाहोगा,,
56,"ngati simukudziwa lamulo la kampani, ngati lilipo, funsani a cco kapena ccm a kampani yanu","if you are not sure whether a law or company policy applies, or whether it exists at all, ask the company’s chief legal officer or ccd","अगरआपकंपनीकेकानूननहींजानते, तोअपनेकंपनीकेक्रेडिटकार्डयातस्वीरकीसलाहलें","आपकंपनीकेकानूननहींजानतेहैं, अगरवहाँएकहै, अपनेकंपनीयातस्वीरसेक्रेडिटकार्डकेलिएपूछें",,
89,"potchola masamba onse anthete amene amadyedwa ndi udzudzu wa tiyi, zimathandiza kuti udzudzuwu usapitilire","by removing all the soft leaves that helopeltis can feed on, their population can be controlled","जबसभीयुवाचायकेद्वाराखायाजाताहै, तोवेमच्छरकोजीवितरखतेहैं",मच्छरोंकाशिकारहोनेपरमच्छरज़िंदारहतेहैं,,
27,zokhudza kayendetsedwe ka kampani;,changes in control of the company or extraordinary management developments;,कंपनीनियंत्रणकेबारेमें,"कंपनीकोनियंत्रितकरनेकेलिए,",,
43,kuba ndalama kumachitika pamene munthu atenga zimene wazipeza atalakwa kuti ziwoneke ngati sizinapezeke munjira yolakwika,money laundering occurs when persons try to make the proceeds of crime appear legitimate by filtering them through non-criminal ventures,जबएकव्यक्‍तिचोरीकरताहैतबवहमिलजाताहैजबवहग़लतीकरताहैताकिउसेपताचलताहैकिउसेग़लततरीक़ेसेनहींपायागयाहै,"जबएकव्यक्‍तिजोगलतीकरताहैउसेवहमिलताहै, तोवहऐसामहसूसकरताहैकिउसेगलततरीकेसेनहींपायागयाहै",,
70,choncho ulimi wa tiyi umenewo si umapitiliranso,"such way, tea production cannot be sustained in the long run",सोगन्‍नेकीफसलअबबढ़गयीनहींहै,सोचीनीअबबढ़तीनहींजारहीहै,,
16,zinthu zomwe zingapangitse kuti pakhale kukolana zikuyenera kunenedwa polemba kalata kwa ccdcco kapena clo komanso mapepala ake onse akuyenera kuperekedwa molingana ndi malamulo,"potential conflicts of interest and related party transactions must be disclosed in writing to the ccd or clo, and properly documented per company policy","इकट्ठाहोनेकेकारणकोकोशकोयाकोलोको, साथहीइसकेसारेकागजकोकानूनीमाँगोंकेअनुसारदियाजानाचाहिए","अधिवेशनकेकारणकोकूकोयाकोलोकेलिएएकपत्रमें, साथहीउसकेसारेकागजोंकोकानूनीमाँगोंकेअनुसारदियाजानाचाहिए",,
41,"kugwiritsa ntchito katundu wa kampani (kuphatikizapo ndege, nyumba, magalimoto, maboti, ndi zina zotere","use of the company’s facilities (including but not limited to aircraft, houses, vehicles, boats, etc","कंपनीकीसंपत्ति (जिसेहवाई - जहाज़, घर, गाड़ियों, नाव, नाव, इत्यादिभीशामिलहैं) काप्रयोग","कंपनीकीसंपत्ति (जिसेहवाईजहाज़, घरों, गाड़ियों, नाव, नाव, इत्यादिशामिलकियाजाताहै) काइस्तेमालकरतेहुए",,
97,mdzenje muyenera kudzadza makala omwe amathandiza kuyeretsa madzi,"a soak pit should be filled with charcoal, which helps to purify the water",आपकोएकछेदकोऐसेलेजानेकीज़रूरतहैजोपानीकोसाफकरनेमेंमदददेताहै,आपकोएकऐसाबड़ाछेदभरनाहोगाजोपानीकोसाफकरनेमेंआपकीमददकरताहै,,
10,"ngati mbali ya malamulowa siyikumveka kapena muli ndi mafunso pa zimene mukukumana nazo, mukambirane za madandaulo anuwo ndi bwana wanu, woyimilira depatimenti ya oyang’anira ogwira ntchito, ofisala wa corporate compliance kapena dayilekita wa corporate compliance","if any aspect of the cbc is unclear to you or if you have questions about a situation you are facing, your concerns can be discussed directly with your supervisor, human resource representative or the corporate compliance director","यदिआपअपनेमालिक, सुरक्षाअधिकारी, नौकरीमैनेजरकेसाथअपनीशिकायतोंकेबारेमेंनहींसुनतेयाउनकेबारेमेंसवालनहींकरतेहैं, तोअपनेमालिककेसाथअपनीशिकायतोंपरचर्चाकीजिए।","अगरआपनेअपनीस्थितिकेबारेमेंसवालनहींसुनेहैंयासुनाहै, तोअपनेमालिक, सुरक्षानिर्देशक, मैनेजर, रेडियोकंपनीकेनिर्देशक, यारेडियोकंपनीकेनिर्देशककेसाथअपनीशिकायतोंपरचर्चाकीजिए",,
73,kupopera mankhwala kukhoza kuwononga chitetezo cha mbewu ndikupangitsa kuti matenda ayambe,spraying would kill the natural enemies of pests and could allow epidemics to develop,जाँचसेफसलकीसुरक्षाभंगहोसकतीहैऔरबीमारीकाकारणबनसकतीहै,चिकित्साउपचारफसलसुरक्षाऔरबीमारीकोक्षतिपहुँचासकतेहैं,,
12,kukolana kwa zofuna za munthu ndi kampani kumachitika pamene zofuna zamunthu zikuwoneka kuti zikukhulana ndi zochita za kampani,a conflict of interest occurs when an individual’s private interest interferes– or has the appearance of interfering – with the interests of the company as a whole,व्यक्तिऔरकंपनियोंकेबीचसंघर्षजबएककीमांगकंपनीकेकार्योंकेसाथफिटप्रतीतहोताहै,एकव्यक्‍तिऔरकंपनियोंकेबीचभेद - भावकंपनीकेकामसेमेलखाताप्रतीतहोताहै,,
48,ndi zosavomerezeka ndi malamulo a kampani kulandira ndalama ndi ma invoice,it is against company policy to accept cash payment of any invoice,पत्रिकाएँजोकंपनीकीनीतिकेप्रतिअस्वीकार्यहैंपैसेऔरभाषामेंनिर्माणकरनेकीनीति,कंपनीकीनीतिऔरपैसाबनानेकीअवैध,,
86,awa ndi matenda amene amagwira mtengo kudzela mu tizilonda timene timadza chifukwa chakuti mtengo wakhapidwa,the wounds could have been caused by a hoe during manual weeding or by moles and rats,यहएकऐसीस्थितिहैजोदीवारमेंएकपेड़कोप्रभावितकरतीहैजोकाट - काटकेपेड़सेनिकलजातीहै,यहएकस्थितिहैजोदीवारमेंएकवृक्षकोप्रभावितकरतीहैजोकाट - काटकेपेड़सेनिकलजातीहै,,
29,vuto la kapezedwe ka ndalama,liquidity problems; and,पैसाकमानेकीसमस्या,पैसेबनानेकीचुनौती,,
94,"madzi otsukira amatsalira mankhwala, ndiye ngati simusamala, akhoza kuononga chilengedwe","water used to wash these equipment contains chemicals, so if you do not manage it properly, it would contaminate the environment","समाधानबचाहै, औरयदिआपइसकीपरवाहनहींकरतेहैं, तोयहपर्यावरणकोनष्टकरसकताहै","समस्याबनीरहतीहै, औरयदिआपउसकीदेख - रेखनहींकरते, तोयहपर्यावरणकोनष्टकरसकताहै",,
6,m’ndandanda wa malamulo athu wochitira bizinesi ndi umene ukutitsogoza ku mchitidwe wotsatira malamulo moyenera,our code of business conduct is our guide to ethical and lawful conduct,हमारेव्यापारनियमोंकीसूचीऔरकौन - सीबातहमेंउचितनियमोंकीओरलेजातीहै,हमारेव्यापारनियमोंकीसूचीऔरकौन - सीबातहमेंतर्कसंगतनियमोंकीओरलेजातीहै,,
67,"sikololedwa kuphwanya lamulo, kapena kukakamizidwa kuti mutero – ngakhale kuphwanya lamulo kungathandize kuti mukwaniritse zolinga zanu","it is never acceptable to violate a law or policy, nor should you ever feel encouraged or pressured to do so – even if you think the violation will improve the bottom line or help to meet a performance goal","कानूनकेमुताबिकसज़ानहींदीजासकती, फिरचाहेवहगैरकानूनीहोयागैरकानूनीहो, आपअपनेलक्ष्योंतकपहुँचनेमेंआपकीमददकरसकतेहैं","कानूनकेमुताबिकअनुशासननहींदियाजासकता, फिरचाहेवहगैर - कानूनीक्योंनहो, आपअपनेलक्ष्योंतकपहुँचनेमेंआपकीमददकरसकतेहैं",,
66,musakakamizidwe,don’t be pressured,दबावनहींकियाजासकता,निष्कपटमतबनिए,,
36,"ndalama zofanana ndi ndalama, kapena ma benefiti (ma travelling cheque ndi ma benefiti);","cash, cash equivalents, or other benefits (travelers checks, travel benefits);","पैसा, पैसेयाक्रियासेमिलता - जुलता (प्रयोगऔरक्रिया - क्रिया);","रूपया, पैसेयाक्रिया (कब्बाऔरक्रिया) केबराबरहै;",,
17,kukhala ndi zinthu zopangitsa kuti pakhale kukolana sikuswa malamulo athu akagwiridwe ka ntchito koma kulephera kunena ku kampani za zinthuzo,"having a conflict of interest is not necessarily a violation of our code of business conduct, but failing to disclose it is","जबहमारेकाममेंकोईफर्कपड़ताहै, तोहमअपनेनियमोंकाउल्लंघननहींकरतेबल्किमामलोंकीसंगतिसेबातकरनेसेचूकजातेहैं",कुछबदलावकरनेकीवजहसेहमलोगोंकेसाथबातचीतकरनेमेंनाकामहोजातेहैं,,
50,ngati ndalama zoterozo ndizovuta kuzipewa mulandire chilolezo kuchokera kwa ofisala wa ku kampani ndikutsatila zonse zimene zikugwilizana ndi malamulo a united states internal revenue service,"if a cash or similar transaction is unavoidable, you must take care to comply with the detailed and complex reporting obligations associated with such transactions, including obligations imposed by the united states internal revenue service","अगरऐसापैसाएककंपनीअधिकारीसेऔरकानूनकेकानूनसेजुड़ेसभीलोगोंकोइजाज़तदेनेसेदूररहनामुश्‍किलहै, तोआपशायदकंपनीकेअफसरसेलाइसेंसलेनेसेदूररहजाएँऔरउनसबकोजोकानूनकेकानूनकेखिलाफहैं।","यदिऐसेपैसेकंपनीकेनिदेशकऔरकानूनकेसामंजस्यमेंसभीजोभीहैअनुमतिप्राप्तकरनेसेदूररहनेकेलिएकठिनहैं, तोआपएकअधिकारीसेअनुमतिप्राप्तकरनेसेदूररहसकतेहैंऔरजोकुछभीपुरानेनियमकेअनुसारहैसबभुगतानकरनेसेदूररहसकतेहैं।",,
35,"ngakhale ziphuphu ndi kuswa malamulo ndikulakwira malamulo a kampani, chiphuphu chitaperekedwa kwa wogwira ntchito m’boma kapena munthu wamba, kasitomala kapena sapulaya, wogwira ntchito ku alliance one akuyenera kudziwa zimenezi","although bribery is illegal and against company policy regardless of whether the bribe is offered to a government official or a private citizen, customer or supplier, unique concerns exist in each instance that alliance one employees need to be aware of","अगरभ्रष्टाचारऔरभ्रष्टाचारकंपनीकेनियमोंकाउल्लंघनहै, तबभीसरकारकेकर्मचारीयाजनताकोघूसदियाजासकताहै।","यदिभ्रष्टाचारऔरभ्रष्टाचारकंपनीकेनियमोंकाउल्लंघनहै, तोभीएकसरकारीकर्मचारीयासरकारीकर्मचारी, ग्राहकोंयाबढ़ईकोघूसदियाजासकताहै।",,
8,"ma dayilekitala a aoi, ma ofisala, antchito ndi wothandizira akuyenera kupanga bizinesi mogwirizana ndi zoyenera kutsatiridwa, chilungamo kumbali ya chuma ndi ndalama","aoi directors, officers, employees and agents are expected to conduct the company’s business according to the highest standards of professional ethics, financial integrity and legality","धन - दौलतऔरपैसोंकेमामलेमें, कर्मचारियोंऔरसहायकोंकोएकव्यापारकरनाचाहिए","मैनेजर, पुलिस, कर्मचारियों, औरसहायकोंकोजोअपेक्षाकीजातीहैउसकेअनुसारव्यापारकरनाचाहिए, धन - दौलतऔरपैसेकेपीछेन्याय",,
96,"mukapopera mankhwala zifuyo, tsukani zida ndikutaya madzi mdzala/mdzenje","when you spray animals, wash the equipment and pour the washing water into a soak pit","यदिआपजानवरोंकोफोड़तेहैं, हथियारधोतेहैंऔरएकछेदमेंपानीफेंकदेतेहैं","यदितूमांसनिगलजाए, तोहथियारधोकरगड़हेमेंजलफेंकदे",,
28,kubwereka ndalama kopitiriza muyeso;,extraordinary borrowing;,"बहुतज्यादाउधारलेनेकेलिए, बहुतज्यादाउधारलेनेकेलिए","बहुतज्यादाउधारलेनेकेलिए, बहुतज्यादाउधारलेनेकेलिए",,
20,zotsatira za chuma;,financial results;,मालबहुतसेबेटेरखताहै,आर्थिकपरिणाम;,,
82,izi zimathandizira kuti zomera zosafunikira zisamele,it is better to pull out weeds by hand,यहपौधोंकोबढ़नेसेबचानेमेंमददकरताहै,यहपौधोंकीरक्षाकरनेमेंमददकरताहैजिन्हेंविकसितकरनेकीज़रूरतनहींहै,,
26,kusintha kwa oyendetsa kampani ndi njira zatsopano,events regarding the company’s securities,कंपनीप्रबंधनमेंएकपरिवर्तननयाहै,कंपनीसंगठनमेंएकपरिवर्तननयाहै,,
63,tikuyenera kuyika pa mtima malamulo akampani,we all need to take the law and company policies seriously,हमकंपनीकेनियमोंकेसाथईमानदारहोनाचाहिए,हमकंपनीकेनियमोंकेसाथईमानदारहोनाचाहिए,,
14,"mkangano ungakhalepo ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira kapena a pa banja lake alandila ma benefiti molingana ndi ntchito yake ku kampani","conflicts of interest also arise if a director, officer, employee, agent or a member of his or her family, receives improper personal benefits as a result of his or her position with the company","अगरअधिकारी, कर्मचारीयासहायकयाअपनेपरिवारकेकिसीसदस्यकोकंपनीमेंअपनेकामकेमुताबिकगोदलियाजाए, तोहोसकताहैवहविरोधकासामनाकररहाहो","अगरएकप्राचीन, एककर्मचारी, याउसकेपरिवारकेएकसदस्यकोकंपनीमेंअपनेकामकेअनुसारहटादियाजाएतोयुद्धमौजूदहोसकताहै",,
