chichewa,en_baseline,hi_baseline,en_augmented,hi_augmented,drift_baseline,drift_augmented
mungathenso kuyimba foni pa nambala yowona za compliance ya alliance one kuchokera kwina kuli konse kumene muli pa dziko lonse lapansi kudzera ku nambala ya ulere kapena pa webu sayiti,You can also call on aventiance telephone to see from elsewhere in the world by means of a free number or a credit card number,आपमुफ्तसंख्यायाक्रेडिटकार्डनंबरकेज़रिएदुनिया - भरमेंकहींसेदेखसकतेहैं।,You can also call others from other countries to see you by the number or number of a credit card,आपअन्यदेशोंसेदूसरेलोगोंकोभीफोनकरसकतेहैंताकिवेआपकोक्रेडिटकार्डकेनंबरयासंख्यासेदेखसकें,0.7039966,0.76047045
kukolana kwa zofuna za munthu ndi kampani kumachitika pamene zofuna zamunthu zikuwoneka kuti zikukhulana ndi zochita za kampani,The conflict between individuals and companies takes place when one's demands seem to fit in with the company's activities,व्यक्तिऔरकंपनियोंकेबीचसंघर्षजबएककीमांगकंपनीकेकार्योंकेसाथफिटप्रतीतहोताहै,Misunderstandings between individuals and companies seem to harmonize with company activity,एकव्यक्‍तिऔरकंपनियोंकेबीचभेद - भावकंपनीकेकामसेमेलखाताप्रतीतहोताहै,0.86246216,0.9619311
"kukolanaku kungathe kukula ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira apanga zinthu zimene zingapangitse kugwira ntchito kwake bwino bwino kuti kusokonezeke","It can grow in size if the director, officer, worker, or helper makes things work out as well as his work so as not to get out of control","यहआकारमेंबढ़सकताहैयदिनिर्देशक, अधिकारी, कारीगर, यासहायककामकरताहै, साथहीउसकेकार्यकोनियंत्रणसेबाहरनहींनिकलनेकेलिए","It can grow if an elder, an officer, an employee, or a helper makes things work along with his work so that he does not lose control","यहबढ़सकताहैयदिएकप्राचीन, एककर्मचारी, याएकसहायककामकरताहैअपनेकामकेसाथकामकरताहैताकिवहनियंत्रणखोनदे",0.79375005,0.8898355
"mkangano ungakhalepo ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira kapena a pa banja lake alandila ma benefiti molingana ndi ntchito yake ku kampani","A conflict may exist if the director, an officer, an employee or a helper or a member of his family were to be adopted according to his work at the company","अगरअधिकारी, कर्मचारीयासहायकयाअपनेपरिवारकेकिसीसदस्यकोकंपनीमेंअपनेकामकेमुताबिकगोदलियाजाए, तोहोसकताहैवहविरोधकासामनाकररहाहो","War could exist if an elder, an officer, an employee, or a member of his family were to be taken away according to his job at the company","अगरएकप्राचीन, एककर्मचारी, याउसकेपरिवारकेएकसदस्यकोकंपनीमेंअपनेकामकेअनुसारहटादियाजाएतोयुद्धमौजूदहोसकताहै",0.8358686,0.86074823
"kugulitsa masheya, kuphumitsa kampani mwayi wa bizinesi, kupanga bizinesi ndi zina mwa zinthu zomwe zingapangitse kuti pakhale kukolana pakati pazofuna zanu ndi zakampani","The market, the company's promotion of business opportunities, the business industry, and some of the factors that can contribute to the tension between your wishes and your company","बाजार, व्यापारअवसरों, व्यापारउद्योग, औरकुछकारणोंकेकंपनीकीप्रगतिहैकिआपऔरअपनीकंपनीकेबीचतनावमेंयोगदानदेसकतेहैं","Business, business, and other factors that may put you in conflict with your company","व्यापार, व्यापार, औरअन्यतत्त्वजोशायदआपकोअपनीकंपनीकेविरोधमेंडालदें",0.800289,0.8796505
zinthu zomwe zingapangitse kuti pakhale kukolana zikuyenera kunenedwa polemba kalata kwa ccdcco kapena clo komanso mapepala ake onse akuyenera kuperekedwa molingana ndi malamulo,The reasons for the gathering should be written in a letter to ccdcco or clo as well as all its paper should be given according to legal requirements,"इकट्ठाहोनेकेकारणकोकोशकोयाकोलोको, साथहीइसकेसारेकागजकोकानूनीमाँगोंकेअनुसारदियाजानाचाहिए",The reasons for the convention should be written in a letter to the cuccco or clo as well as all its papers should be given according to legal requirements,"अधिवेशनकेकारणकोकूकोयाकोलोकेलिएएकपत्रमें, साथहीउसकेसारेकागजोंकोकानूनीमाँगोंकेअनुसारदियाजानाचाहिए",0.6837375,0.74632746
kukhala ndi zinthu zopangitsa kuti pakhale kukolana sikuswa malamulo athu akagwiridwe ka ntchito koma kulephera kunena ku kampani za zinthuzo,Having things to make a difference does not violate our rules when they work but fail to talk to the company of things,"जबहमारेकाममेंकोईफर्कपड़ताहै, तोहमअपनेनियमोंकाउल्लंघननहींकरतेबल्किमामलोंकीसंगतिसेबातकरनेसेचूकजातेहैं",Having things to change does not violate our rules while working but fail to communicate with people,कुछबदलावकरनेकीवजहसेहमलोगोंकेसाथबातचीतकरनेमेंनाकामहोजातेहैं,0.89290595,0.82633096
wotheka ndi wowona,Possible and true,संभावितऔरसही,It is both possible and true,यहसंभवऔरसहीदोनोंहै,0.5926696,0.64213437
"zolengeza chiongola dzanja kapena zongoyerekeza, kusintha, zimene zinalengezedwa kale kapena zongoyerekeza;","Proclaimers can make a hand or an estimate, change, that was already announced or illustrated;","राज्यउद्‌घोषकएकहाथयाअनुमान, परिवर्तनकरसकतेहैंजोपहलेहीघोषितकियागयाथायासचित्रितकियागयाथा;","Proclaimers can make a hand or imagine, change, which was already announced or illustrated;","राज्यउद्‌घोषकएकहाथयाकल्पनाकरसकतेहैं, जोपहलेहीघोषितकियागयाथायासचित्रितकियागयाथा;",0.59375125,0.5936362
zotsatira za chuma;,The result of wealth;,मालबहुतसेबेटेरखताहै,Economic consequences;,आर्थिकपरिणाम;,0.70699453,0.7813497
zolembedwa ndi zowonjezeredwa ku ngongole zamgonagona;,Writings and additions to debt are sleeping;,कितुमभीतुलामेंसीमाकाउल्लंघननकरो,Writing and increasing debt are asleep;,और (मौतकीतकलीफ़से) पिन्डलीसेपिन्डलीलिपटजाएगी,0.5101604,0.46688092
kukuza kapena kuchepetsa magwiridwe a ntchito;,to expand or reduce work activity;,कामकोबढ़ानेयाकमकरनेकेलिए,Adding to or limit work;,जोड़रहेहैंयासीमापर;,0.87224317,0.7394194
"katundu wa tsopano, zopangidwa ndi zozindikiridwa mwatsopano;","The goods now, made with new understanding;",अबसामाननईसमझकेसाथबनायाहै।,"now possessions, made up of new understandings;","अबसंपत्ति, नईसमझकीबनीहुईहै।",0.5471107,0.63094527
milandu yayikulu kapena zochita za boma,Serious or governmental cases,गंभीरयासरकारीमामले,Serious or governmental issues,गंभीरयासरकारीसमस्याएँ,0.49898136,0.7781483
"kuphatikizana zogulidwa, zonenera malonda, kugwirira ntchito limodzi ndi makampani ena kapena zosintha ku katundu wa kampani;","linking shopping, advertising, working with other companies or changing company property;","खरीदारीकरना, विज्ञापनदेना, अन्यकंपनियोंकेसाथकामकरनायाकंपनीकीसंपत्तिबदलदेना;","The link between shopping, advertising, working with other companies or changing company space;","खरीदारी, विज्ञापन, अन्यकंपनियोंकेसाथकामकरने, याकंपनीकीजगहबदलनेकेबीचकीकड़ी;",0.89317024,0.8509176
kusintha kwa oyendetsa kampani ndi njira zatsopano,A change in company management is new,कंपनीप्रबंधनमेंएकपरिवर्तननयाहै,A change in company organization is new,कंपनीसंगठनमेंएकपरिवर्तननयाहै,0.900268,0.9097173
zokhudza kayendetsedwe ka kampani;,with regard to company control;,कंपनीनियंत्रणकेबारेमें,to control the company;,"कंपनीकोनियंत्रितकरनेकेलिए,",0.7528577,0.73938626
kubwereka ndalama kopitiriza muyeso;,to borrow too much; to borrow too much,"बहुतज्यादाउधारलेनेकेलिए, बहुतज्यादाउधारलेनेकेलिए",to borrow too much; to borrow too much,"बहुतज्यादाउधारलेनेकेलिए, बहुतज्यादाउधारलेनेकेलिए",0.5578632,0.5578632
vuto la kapezedwe ka ndalama,The problem of obtaining money,पैसाकमानेकीसमस्या,The challenge of making money,पैसेबनानेकीचुनौती,0.76813936,0.62837076
zosintha za ma auditor kapena chidziwitso cha kampani chochokera kwa auditor kuti kampani siyingadalirenso lipoti ya auditor,The changes in the stock or company's knowledge of a company from critics that the company can no longer rely on a professional report,शेयरयाकंपनीकेज्ञानमेंपरिवर्तन......किकंपनीअबपेशेवररिपोर्टपरभरोसानहींकरसकते,A change in company knowledge or company information from critics that the company can no longer rely on a professional report,कंपनीकेज्ञानयाकंपनीकीजानकारीमेंपरिवर्तनकिकंपनीअबपेशेवररिपोर्टपरनिर्भरनहींकरसकती,0.73950803,0.7285083
zimaononga madera amene tikugwirako ntchito,ruining our place of work,हमारेकामकीजगहबर्बादकररहेहैं,Ruining of our workplace,हमारेकामकातबाहहोना,0.9467404,0.70032495
tikuyenera kutenga nawo mbali pa njira zothandiza kuthetsa ziphuphu,We need to take part in effective measures to combat corruption,भ्रष्टाचारसेलड़नेकेलिएहमेंप्रभावकारीक़दमउठानेकीज़रूरतहै,We need to take part in effective ways to cope with corruption,भ्रष्टाचारकासामनाकरनेकेलिएहमेंअसरदारतरीकेसेहिस्सालेनाहोगा,1.0285933,0.9964193
aliyense wa ife ayenera kutsatira malamulo onse odana ndi ziphuphu,Each of us must comply with all the laws against corruption,हममेंसेहरेककोभ्रष्टाचारकेविरुद्धसभीनियमोंकापालनकरनाचाहिए,Each of us must obey all laws against corruption,हममेंसेहरेककोभ्रष्टाचारकेविरुद्धसभीनियमोंकापालनकरनाचाहिए,0.907552,0.907552
awa ndi malamulo a dziko limodzi amene amaletsa katangale mu mayiko ena,These are the laws of one country that forbid corruption in other countries,येएकदेशकेकानूनहैंजोदूसरेदेशोंमेंभ्रष्टाचारकोबढ़ावादेताहै,These are the laws of one country that prohibit corruption in other lands,येएकदेशकेकानूनहैंजोदूसरेदेशोंमेंभ्रष्टाचारकोबढ़ावादेताहै,0.7591129,0.7591129
"ngakhale ziphuphu ndi kuswa malamulo ndikulakwira malamulo a kampani, chiphuphu chitaperekedwa kwa wogwira ntchito m’boma kapena munthu wamba, kasitomala kapena sapulaya, wogwira ntchito ku alliance one akuyenera kudziwa zimenezi","Even if corruption and corruption are a violation of company laws, a bribe could be offered to a government worker or a public worker, a customers or a carpenter, an employee at avenance view should know this","अगरभ्रष्टाचारऔरभ्रष्टाचारकंपनीकेनियमोंकाउल्लंघनहै, तबभीसरकारकेकर्मचारीयाजनताकोघूसदियाजासकताहै।","Even if corruption and corruption are a violation of company laws, a bribe may be given to a government worker or a government worker, customers or carpenter, a well - thought - out worker should know this","यदिभ्रष्टाचारऔरभ्रष्टाचारकंपनीकेनियमोंकाउल्लंघनहै, तोभीएकसरकारीकर्मचारीयासरकारीकर्मचारी, ग्राहकोंयाबढ़ईकोघूसदियाजासकताहै।",0.92009395,0.9313613
"ndalama zofanana ndi ndalama, kapena ma benefiti (ma travelling cheque ndi ma benefiti);","Money similar to money, or verbs (travelling reques and verbs);","पैसा, पैसेयाक्रियासेमिलता - जुलता (प्रयोगऔरक्रिया - क्रिया);","Money the equivalent of money, or verb (combs and verbs);","रूपया, पैसेयाक्रिया (कब्बाऔरक्रिया) केबराबरहै;",0.48104835,0.49603665
ntchito zopanga munthu yekha;,Man - made work;,मनुष्य - निर्मितकार्य;,Man - made work;,मनुष्य - निर्मितकार्य;,0.48527908,0.48527908
ntchito kapena kupatsidwa,work or receiving,कार्ययाप्राप्तकरना,Work or receiving,कार्ययाप्राप्तकरना,0.7526903,0.75269026
kuthandiza wosowa ukudziwa kuti upindulepo;,Helping the needy knows that you will benefit;,औरतुमइसक़दरग़ाफ़िलहोतोख़ुदाकेआगेसजदेकियाकरो,Helping needy ones to know that you will benefit;,औरदरिद्रलोगोंकोज़रूरमालूमहोजाएगाकिवहलोगतुम्हारीमददज़रूरकरतेहैं,0.7128527,0.7788498
zopereka kundale ; ndi,magazines to politics; and,राजनीतिकेलिएपत्रिकाएँ; और,political;,राजनैतिक;,0.4880721,0.70743865
"kugwiritsa ntchito katundu wa kampani (kuphatikizapo ndege, nyumba, magalimoto, maboti, ndi zina zotere","The use of company property (including airplanes, homes, cars, boats, and so on)","कंपनीकीसंपत्ति (जिसेहवाई - जहाज़, घर, गाड़ियों, नाव, नाव, इत्यादिभीशामिलहैं) काप्रयोग","Using company property (including airplanes, homes, cars, boats, and so forth)","कंपनीकीसंपत्ति (जिसेहवाईजहाज़, घरों, गाड़ियों, नाव, नाव, इत्यादिशामिलकियाजाताहै) काइस्तेमालकरतेहुए",0.80216205,0.7542375
) ndi wogwira ntchito m’boma kapena a ntchito awo kuti atukule ndi kuwonetsa katundu wa kampani ndi ntchito zake,• With a government worker or their employees to protect themselves and to demonstrate the property of the company and its services,• एकसरकारीकर्मचारीयाकर्मचारियोंकेसाथअपनीरक्षाकरनेकेलिएऔरकंपनीऔरउसकीसेवाओंकीसंपत्तिप्रदर्शितकरनेकेलिए,• Having a government worker or their employees to protect themselves and to show the company's position and services,• एकसरकारीकर्मचारीयाउनकेकर्मचारियोंकोअपनीरक्षाकरनेकेलिएऔरकंपनीकीस्थितिऔरसेवाओंकोदिखानेकेलिए,0.88441825,0.83897305
kuba ndalama kumachitika pamene munthu atenga zimene wazipeza atalakwa kuti ziwoneke ngati sizinapezeke munjira yolakwika,Money theft occurs when a person takes what he finds when he makes a mistake in order to make it appear that he has not been found in the wrong way,जबएकव्यक्‍तिचोरीकरताहैतबवहमिलजाताहैजबवहग़लतीकरताहैताकिउसेपताचलताहैकिउसेग़लततरीक़ेसेनहींपायागयाहै,Money theft occurs when a person takes what he finds when he makes mistakes so as to make it seem that he has not been found in the wrong way,"जबएकव्यक्‍तिजोगलतीकरताहैउसेवहमिलताहै, तोवहऐसामहसूसकरताहैकिउसेगलततरीकेसेनहींपायागयाहै",0.7017416,0.66375655
malamulo a mu mayiko ambiri amaletsa dala kugwiritsa ntchito zinthu zimene zapezeka munjira yolakwika,Laws in many countries forbid the misuse of information that has been found wrong,"बहुत - सेदेशोंमेंकानून, जानकारीकेगलतइस्तेमालसेदूररहतेहैं",Laws in many countries prohibit the misuse of knowledge that has been found to be wrong,कईदेशोंमेंकानूनऐसेज्ञानकागलतइस्तेमालकरनेसेमनाकरतेहैंजिन्हेंगलतपायागयाहै,0.9072789,0.7850232
mukuyenera kutsatira malamulo onse amene akukamba za kuba ndalama ndi malamulo amene akufuna kuti inu munene pamene mwaona ndalama ndi zinthu zina zolakwika,Why not comply with all the laws on stealing money and the laws that he wants you to say when you see money and the wrong things,पैसेऔरनियमोंकोचोरीकरनेकेबारेमेंसभीनियमोंकापालनक्योंनकरेंजिन्हेंवहचाहताहैकिआपयहकहेंकिजबआपपैसाऔरग़लतचीज़ेंदेखतेहैं,Why not follow all the laws on stealing money and the laws that he wants you to say when you see money and what is wrong?,क्योंनआपपैसेऔरउननियमोंपरअमलकरेंजोवहचाहताहैकिआपपैसाऔरक्यागलतहैं?,0.9916668,0.98354244
"mukuyenera kupeza zokwanira pa makasitomala, ma sapulaya ndi ena amene mukuchita nawo bizinesi kuti mudziwe kumene ndalama zawo zikuchokera kumabizinesi ovomerezeka","you have to get enough from customers, colleges, and other business associates to find out where their money comes from a legitimate business","आपग्राहकों, कॉलेजों, औरअन्यव्यापारसाथियोंसेपर्याप्तपानेकेलिएहैपतालगानेकेलिएजहांउनकेपैसाएकवैधव्यापारसेआताहै","You need to earn enough money from customers, colleges, and other business friends to find out where their money comes from an acceptable business","आपग्राहकों, कॉलेजों, औरअन्यव्यापारमित्रोंसेपर्याप्तपैसाकमानेकीजरूरतहैयहपतालगानेकेलिएकिउनकेपैसाएकस्वीकार्यव्यापारसेकहाँआताहै",0.8851087,0.8805094
mukuyenera kutsatira malamulo onse okhudzana ndi ndalama,to the extent that you live by all rules related to money,आपपैसेसेजुड़ेसभीनियमोंकेअनुसाररहतेहैं,to the extent that you live according to all laws related to money,आपपैसेसेजुड़ेसभीनियमोंकेमुताबिकजीतेहैं,0.9833096,0.9074205
ndi zosavomerezeka ndi malamulo a kampani kulandira ndalama ndi ma invoice,magazines that are unacceptable to the company's policy of making money and invoices,पत्रिकाएँजोकंपनीकीनीतिकेप्रतिअस्वीकार्यहैंपैसेऔरभाषामेंनिर्माणकरनेकीनीति,illegal by the company's policy of making money and money,कंपनीकीनीतिऔरपैसाबनानेकीअवैध,0.457044,0.69391495
"ndipo ndi zosavomerezeka ndi lamulo la kampani, pokha pokha ngati pali china chake ndiponso ndi ulangizi wa zamalamulo wa kampani, kulandira ndalama monga ngati ma money order kapena ma travelling cheque kapena kulandira ndalama kwa amene simukumudziwa","and illegal is the law of the company alone if there is something else and the company's legal system, accepting money such as money orders or travelling cheques or getting money from someone you do not know","औरकेवलकंपनीकाकानूनहै...... कुछऔरऔरकंपनीकीकानूनीव्यवस्था, पैसायायात्राकेआदेशोंकेरूपमेंयाकिसीसेपैसेप्राप्तकरनेकेलिएयाकिसीसेपैसेपानेकेरूपमेंस्वीकारकरें...","and company law alone if there is something and the company's legal system, accepting money such as money laws or travel or getting money from someone you do not know","औरकंपनीकानूनकेवलअगरकुछहैऔरकंपनीकीकानूनीव्यवस्था, पैसेकेरूपमेंस्वीकारयायात्रायाकिसीसेपैसाप्राप्तकरनेकेलिए",0.7396504,0.7898793
ngati ndalama zoterozo ndizovuta kuzipewa mulandire chilolezo kuchokera kwa ofisala wa ku kampani ndikutsatila zonse zimene zikugwilizana ndi malamulo a united states internal revenue service,"If such money is hard to avoid getting permission from a company official and all that is involved with the law of law, you may be able to avoid getting a license from a company officer and pay off all that is in contact with the law of law of law in the past.","अगरऐसापैसाएककंपनीअधिकारीसेऔरकानूनकेकानूनसेजुड़ेसभीलोगोंकोइजाज़तदेनेसेदूररहनामुश्‍किलहै, तोआपशायदकंपनीकेअफसरसेलाइसेंसलेनेसेदूररहजाएँऔरउनसबकोजोकानूनकेकानूनकेखिलाफहैं।","If such funds are difficult to avoid getting permission from the company's director and all that is in harmony with law law, you may avoid getting permission from an executive and paying all that is in harmony with the law of an old law.","यदिऐसेपैसेकंपनीकेनिदेशकऔरकानूनकेसामंजस्यमेंसभीजोभीहैअनुमतिप्राप्तकरनेसेदूररहनेकेलिएकठिनहैं, तोआपएकअधिकारीसेअनुमतिप्राप्तकरनेसेदूररहसकतेहैंऔरजोकुछभीपुरानेनियमकेअनुसारहैसबभुगतानकरनेसेदूररहसकतेहैं।",0.77258205,0.7874413
"mukuyenera kuwonetsetsa kuti makasitomala wonse, ma sapulaya, ndi ena wonse amene mumachita nawo bizinesi ali wololera kusunga zonse zoyenera ndikupereka malipoti","you should make sure that all customers, managers, and the rest of your business partner are willing to keep all the information and report","आपकोसुनिश्चितकरनाचाहिएकिसभीग्राहक, प्रबंधक, औरआपकेव्यापारसाथीसभीजानकारीऔररिपोर्टरखनेकेलिएतैयारहैं","You must make sure that all customers, neighbors, and other business associates are willing to keep all the information and report","आपकोइसबातकाध्यानरखनाचाहिएकिसभीग्राहक, पड़ोसीऔरदूसरेव्यवसायसाथीसारीजानकारीऔररिपोर्टरखनेकेलिएतैयारहैं",0.8964979,0.8409666
dziwani ndi kuchita monga mwa malamulo,Know and act in harmony with the law,कानूनकेमुताबिककामकरनाऔरउसकेमुताबिककामकरना,Know and act in harmony with the law,कानूनकेमुताबिककामकरनाऔरउसकेमुताबिककामकरना,0.76831675,0.76831675
podziwa ndikumvetsetsa ndikulondola malamulo a kampaniwa ndi zimene zingatipangitse kukhala a chitsanzo,Knowing and applying the company's rules is what will make us exemplary,कंपनीकेनियमोंकोजाननाऔरलागूकरनाहमेंआदर्शबनानेकेलिएहोगा,It is the knowledge and application of company laws that can set a good example for us,यहकंपनीकेनियमोंकाज्ञानऔरअनुप्रयोगहैजोहमारेलिएएकअच्छाउदाहरणरखसकतेहैं,0.9049645,0.8213939
dziwani lamulo ndikufunsa mafunso,Get to know the law and ask questions,कानूनजाननेऔरसवालपूछनेकेलिएआइए,Know the Law and ask questions,कानूनकेबारेमेंजानलीजिएऔरसवालपूछिए,0.93550456,0.94300056
mukuyenera kudziwa malamulo amene akukhudzana ndi ntchito ndi udindo wanu,need to know what rules are involved with work and responsibility,"कामऔरज़िम्मेदारीकेसाथकौन - सेनियमशामिलहैं, यहजाननेकीज़रूरतहै",The importance of knowing what rules are involved in work and responsibility,कामऔरज़िम्मेदारीमेंकौन - सेनियमशामिलहैंयहजाननाज़रूरीहै,0.9248826,0.92007977
"ngati simukudziwa lamulo la kampani, ngati lilipo, funsani a cco kapena ccm a kampani yanu","If you do not know the law of the company, if available, consult your company's credit card or picture","अगरआपकंपनीकेकानूननहींजानते, तोअपनेकंपनीकेक्रेडिटकार्डयातस्वीरकीसलाहलें","If you do not know the company's law, if there is one, ask for a credit card from your company or photo","आपकंपनीकेकानूननहींजानतेहैं, अगरवहाँएकहै, अपनेकंपनीयातस्वीरसेक्रेडिटकार्डकेलिएपूछें",0.8615662,0.9619027
