chichewa,english
"tiyi ndi imodzi mwa mbewu zothandiza ku mwera ndi kum'mawa kwa afilika, ndipo imathandiza alimi ambiri kupeza ndalama","tea is one of the most important agricultural crops in east and southern africa, and is a source of income for countless smallholder farmers"
"koma ngati alimi satsatira ndondomeko yoyenerera pa ulimi wa mbewuyi, chilengedwe, madzi ndi nthaka zimawonongeka, komanso ogwira ntchito pa mundapo amavutika","however, if unsustainable practices are allowed to continue, they will contaminate the environment, exhaust the water or soil, and exploit the workers"
choncho ulimi wa tiyi umenewo si umapitiliranso,"such way, tea production cannot be sustained in the long run"
kugwiritsa ntchito mankhwala si njira yokhayo yotetezela mbewu ku tizilombo ndi matenda,use of pesticide is not the only way to control pests and diseases
"ngati tiyi akusamalidwa bwino mu afilika, atha kupilira ku tizilombo popanda kuthira mankhwala","when tea bushes are maintained strong and healthy in africa, they should be able to outgrow short-term pest infestations, without applying chemicals"
kupopera mankhwala kukhoza kuwononga chitetezo cha mbewu ndikupangitsa kuti matenda ayambe,spraying would kill the natural enemies of pests and could allow epidemics to develop
"mu gawo limeneli, tiphunziramo za m'mene tingapewere matenda ndi tizilombo","in this section, we learn about how to manage pests and diseases in a sustainable way"
"ngati mwabzala phata latsopano la tiyi, musankhe mbewu za tiyi zomwe zimapilira ku matenda ndi tizilombo tomwe timaononga tiyi","when you plant a new tea bush, choose clones that are resistant to pests and diseases, such as mites and helopeltis"
ndibwino kubzala mbewu zambiri za tiyi osakhala imodzi yokha,"it is better to plant several clones, instead of just one clone"
"ngati mwabzala mbewu za tiyi zosiyana, muzibzale mtundu uliwonse padera kuti musavutike pozisamalira","when planting several clones, plant them in blocks of pure stands for easier management"
"ngati mundawo unagwidapo ndi matenda owononga mizu, matendawa atha kukhala kuti atsalira mu mitengo imene idakali m'mundamo","if the field had been previously infested by a root disease, such as armillaria, the disease can still be hosted in the roots of remaining trees"
"choncho, ndikoyenera kuti matendawa athetsedwe pogwiritsa ntchito njira yosadzula mitengo","therefore, they need to be eliminated through a method called “ring barking” which is removal of the back around the tree to kill the pathogen in the roots"
iyi ndi njira imene mumasadzula makungwa a mtengo,"mulching and maintaining a good canopy prevent the light from reaching the ground, hence controlling the weed growth"
kuphimba tiyi komanso kuonetsetsa kuti phata la tiyi liri pa mlingo wabwino zimathandizila kuti dzuwa lisaombe pa nthaka,weeding with a hoe could damage the roots of the tea bushes
izi zimathandizira kuti zomera zosafunikira zisamele,it is better to pull out weeds by hand
ndibwino kupalira ndi manja chifukwa kupalira ndi khasu kumathanso kuwononga mizu ya tiyi,moles and rats that damage the roots of tea bushes
mbewa zomwe zimaononga mitsitsi ya tiyi,"their damage can be prevented by digging trenches, and by planting molerepellent plants, such as tephrosia vogelli and tagetes minuta (mexican marigold), onion and garlic"
mbewa zikhoza kupewedwa pokumba mayenje komanso pobzala mbewu zina zimene zimathamangitsa tizilombo,avoid killing them
"mbewu zimenezi ndi monga mthuthu (tephrosia vogelli- mtundu wa chomera umene umagwiritsidwa ntchito yopangila mankhwala a m'munda), tagetes minuta (mtundu wa chomera umene uli mgulu la mpendadzuwa), anyezi ndi adyo","if you see sunken lesions of woody tissue on stems and branches, these are signs of phomopsis infestation"
"ngati mukuwona kuti mitengo ili ndi ti zilonda pa tsinde ndi nthambi, dziwani kuti izi ndi zizindikiro za matenda owoletsa mitengo",phomopsis is a fungal disease that enters through open wounds on stems and branches
awa ndi matenda amene amagwira mtengo kudzela mu tizilonda timene timadza chifukwa chakuti mtengo wakhapidwa,the wounds could have been caused by a hoe during manual weeding or by moles and rats
mtengo utha kukhapidwa pamene mukupalira ndi khasu komanso tizilombo ndi makoswe zitha kubowola mtengo,"to control helopeltis infestation, it is recommended to pluck all the young soft leaves and leave only the hard leaves in the field"
"kuti muthane ndi udzudzu wa tiyi, mukuyenera kutchola masamba anthete a tiyi ndikusiya masamba okhwima",this method is called “hard plucking”
"potchola masamba onse anthete amene amadyedwa ndi udzudzu wa tiyi, zimathandiza kuti udzudzuwu usapitilire","by removing all the soft leaves that helopeltis can feed on, their population can be controlled"
"kuti mupewe matenda a udzudzu wa tiyi, ndibwino kubzala mitundu ya mbewu ya tiyi imene imapilira ku udzudzu wa tiyi",ladybirds are aphids’ natural enemies
mbalame zina zimadya tizilombo ndikuchepetsa chiwerengero chatizilomboti,ladybirds feed on aphids and control their population
mukapopela mankhwala tizilombo pamodzi ndi mbalame zomwe zimafa,spraying insecticide would kill not only aphids but also ladybirds
"posapopela mankhwala, mumateteza mbalamezi zimene zimathandiza pochepetsa tizilombo","by not spraying insecticide, you can protect ladybirds and maintain the natural control of aphids"
"mukatha kupopera mankhwala, muyenera kutsuka zipangizo zothiririra mankhwala ndi zozitetezera","after spraying chemicals, you need to wash your application equipment and personal protective clothing (ppe)"
"madzi otsukira amatsalira mankhwala, ndiye ngati simusamala, akhoza kuononga chilengedwe","water used to wash these equipment contains chemicals, so if you do not manage it properly, it would contaminate the environment"
"mukapopera mankhwala m'madimba a masamba, tsukani zida ndikuthira madzi m'dimba momwemo","when you spray vegetable fields, wash the equipment and pour the washing water back to the field"
"mukapopera mankhwala zifuyo, tsukani zida ndikutaya madzi mdzala/mdzenje","when you spray animals, wash the equipment and pour the washing water into a soak pit"
mdzenje muyenera kudzadza makala omwe amathandiza kuyeretsa madzi,"a soak pit should be filled with charcoal, which helps to purify the water"
osadula mitengo yachilengedwe kuti mupange makala,do not cut down indigenous trees to make charcoal
kumbukiraninso kuchapa zovala zozitetezera,remember also to wash the protective clothing
madzi ochapira atayidwe monga tafotokozera pamwambapa,treat the washing water in the same way as described above
"ngati madzi okutha ntchito ali ochepa, akhoza kutayidwa mungalande yokumbidwa kumbuyo kwa dimba","domestic waste water, when its quantity is small, can be disposed by pouring into a canal dug in the backyard garden"
ngalande idzalidwe ndi nthochi ndi mizu yomwe imamwa madzi ambiri,"the canal should be planted with bananas and arrow roots, both of which absorb water very well"
"mitengo ya bulugama imapereka nkhuni, koma ikabzalidwa pamalo ponyowa, mtsinje kapena chitsime, imamwa madzi ambiri mpaka kuumitsa madzi","eucalyptus trees are good source of fuel, but when they are planted near a wetland, river, stream or well, they absorb so much water that they can exhaust the water source"
"ngati mtsinje kapena chitsime ziuma, zingathe kukhudza miyoyo ya apabanja panu ndi anthu amudera mwanu","if a stream or well gets dried up, it would cause significant negative impacts on the lives of your family and people in your community"
tikuyenera kuteteza magwero a madzi,we need to protect the water sources
"madzi ndi moyo, choncho timafuna madzi okwanira pa miyoyo yathu","water is essential for our lives, and we need to secure sufficient supply of water for our living"
njira ina yopezera madzi yosavuta ndi kukolola madzi a mvula,harvesting rain water is an economic and efficient way to obtain water
mungakolole madzi a mvula amene amagwa pa denga nkuwasunga mu thanki,"you can collect the rain water that falls on the roof, and keep it in a tank"
mukhoza kuwagwiritsa ntchito madzi amenewa mnyumba mwanu pokumwa koma mutawawiritsa kaye,"you can use it in houses, and you can also use it for drinking after treating it or boiling it"
"mvula ndi gwero lodalirika la madzi, choncho tidziwe mmene tingawagwiritsire ntchito madzi athuwo","rain is an important source of water, and we should know how to use it well"
"kutentha kumaononga manyowa ndi tizilombo tobwezeretsa nthaka mudothi, zomwe zimagugitsa nthaka","burning destroys organic matter and microorganisms in the soil, and makes your soil poorer"
kutentha pokonza malo ndikoletsedwa,burning for preparing the land is prohibited
"mukhitchini mukakhala mopanda potulukira utsi, utsi otsala muchipinda ukhoza kudzetsa mavuto azaumoyo, kuononga mapapo ndi maso a ogwira ntchito ndi mabanja awo","when a kitchen does not have escape for the smoke, the smoke contained in the room would cause serious health effects, damaging the lungs and eyes of the workers and their families"
khitchini yapotulutsira utsi imateteza umoyo wawo ndipo imatukula miyoyo ya ogwira ntchito,a kitchen with a chimney protects their health and improves the workers’ quality of lives significantly
ndondomeko zimenezi zikukhudza malo onse ndipo ndikofunika kuti munthu aliyense ogwiritsa ntchito malowa atengepo gawo kuphatikizapo mafumu akuluakulu (ta) komanso unduna osiyanasiyana m'dziko ndi boma,"misuse of land through unstainable, inappropriate land uses or agricultural practices are negatively impacting on drinking, irrigation water and land productivity used by local and downstream communities"
izi ndi zomwe zachititsa kuti ndondomekozi zilembedwe mogwirizana ndi anthu ena onse okhudziwa,these negative impacts cannot easily be managed and only by working together and planning can efforts be focused on solutions to correct these practices that cause the problems
"m'dziko la malawi, bungwe losamalira nthaka ya m'mphepete mwa chigwa cha mtsinje wa shire lotchedwa “shire river basin management program' ndi onse okhudzidwa m'dziko la malawi kutengapo gawo mogwirizana","this type of planning applies to all sizes of catchment areas and requires the involvement for everyone from the individual land users, to traditional authorities and district and national ministries"
ndondomeko zimenezi zikufotokoza zokhudza zinthu za chilengedwe zomwezinapezeka ndi bungwe losamalira za chilengedwe lotchedwa 'malawi national environmental action plan' (neap) pa chingerezi,"it is against this background that, the national guidelines were developed in consultation with many different stakeholders within the malawi government, shire river basin management program and stakeholders throughout malawi, and represent a substantial collaborative effort"
"mwa mavutowa ndi monga kukokoloka kwa nthaka, kudula mitengo mosasamala, kuchepetsa ndi kuonongeka kwa madzi, kuonongeka kwa nsomba, chiopsezo ku zomera, kuchepa kwa malo okhala, kuchulukana kwa anthu, kuonongeka kwa mpweya komanso kusintha kwa nyengo","these guidelines address the environmental issues identified in malawi's nationalenvironmental action plan (neap) which are: soil erosion, deforestation, water resourcesdegradation and depletion, threat to fish resources, threat to biodiversity, human habitatdegradation, high population growth, air pollution and climate change"
"choncho zomwe zimapangitsa kuti chiwerengero cha anthu ndi umphawi zikule zimayenera kuti dziko litengepo gawo lalikulu, kuika malamulo poonetsetsa kuti ndondomeko zoikidwazi zitheke ndi kutsatidwa","however theunderlying causes of population growth and poverty require greater governmental input,policy and regulation than the scope of these guidelines"
"magawo 6 a ndime imeneyi ndi : nkhalango, usodzi, madambo, kusamala zomera, magetsi, ndi kusamala zinyalala","the six components of this chapter are: forestry, fishing, wetlands (dambos), alien and invasive plant management, energy, and waste management"
"zolinga zing'onozing'ono 7 zomwe zagawidwa mu ndime imeneyi ndi kugwiritsa ntchito madzi moyenera, kukolola madzi ndi kuwagwiritsanso ntchito kukolola madzi, kusunga madzi ochepa, madamu ang'onang'ono, kusefa, ndi ulimi othirira pa malo ochepa","the seven sub-themes grouped under this chapter are: water use efficiency, water harvesting and recycling, water harvesting, micro water storage, small dams, infiltration, and small scale irrigation"
",0",",0"
ulamuliro pa chisamaliro cha nkhalango,managing authority
kufotokozera za nkhalango,forest description
kufotokozera mwachidule,general description
zomera zosiyanasiyana za m’derali,vegetation
mitundu ya dothi losiyanasiyana,soils
malire,boundary
umwini wa malo,tenure
ogwiritsa ntchito nkhalango,forest users
timadera tachisamaliro cha nkhalango (fmus),forest management units
zolinga zazikuluzikulu zolunjika kwenikweni dera losakololeka ndi lokololeka m’nkhalango,main objectives of non harvestable and harvestable areas
zolinga zocheperapo zolunjika kwenikweni dera lokololeka ndi lokololeka m’nkhalango,specific objectives of non harvestable and harvestable areas
zolinga za chisamaliro cha nkhalango,management objectives
cholinga chachikulu,overall objective
zolinga zocheperapo koma zolunjika kwenikweni ntchito ya chisamaliro cha nkhalango,specific objectives
malamulo a chisamaliro cha phindu lochokera m’nkhalango,resource use rules
chikonzero cha kagwiridwe kantchito,forest management practices for chanika block
ndondomeko ya m’mene anthu akhoza kulondera/kuyendera,action plan
gome chikonzero cha m’mene ntchito yolondera nkhalango idzayendere,patrolling plan
gome kauniuni wa ndondomeko zofunika kutsatidwa monga mwa chikonzero,monitoring and evaluation plan
kufotokozera ntchito ya chikonzero cha kayendetsedwe ka zinthu zochokera m’nkhalango padera- padera,management plans for each use
ndondomeko ya chisamaliro cha mitengo ya nkhun,management plan for fuel wood
wamkulu wa zankhalango mu boma (la ntchisi),district forestry officer/office
mwinimtunda/ (chalo/ gogo),traditional authority
ndondomeko yotukula kasamalidwe ka nkhalango kuti pakhale kupititsa patsogolo umoyo wa anthu,improved forest management for sustainable livelihood programme
bungwe la umodzi wa azungu,european union
midzi yoona za chisamaliro cha nkhalango,forest manage ment unit
bungwe la kumudzi la zankhalango,local forest organisation
nthambi ya maofesi a zankhalango (dipatimenti yoona zankhalango),forest department
bungwe la chigawo chachikulu losamalira za nkhalango (bmc),block management committee
mfumu ya m’mudzi,village head
dera alilkulu la chionjezero pa chikonzekero cha ntchito za ulimi,extension planning area
bungwe loyang’anira chisamaliro cha nkhalango,local forest management board
kagawo kolumikiza m’ndandanda wa zintchito zoyendetsera nkhalango,programme cordinating unit
mfumu yoyang’anira midzi ingapo,group village head
bungwe limene silili la boma,non governmental organisation
bungwe la m’mudzi loyang’anira zachilengedwe,village natural resource management committee
gulu la mamembala ogwiritsa ntchito nkhalango,forest user group
"ndondomeko ino ili kuphera mphongo kukambirana, kuunika, kudziwitsana ndi kufunsira ndiponso kukonzekera kumene kunalipo ndi anthu a dera la chanika","this document is the summary of a process of joint discussion, analysis, consultation, negotiation and planning by the communityof chanika"
ntchitoyi idatsogoleredwa ndi ogwira ntchito ku ofesi yoona za nkhalango ochokera ku dipatimenti yoona za nkhalango,facilitation was done by forestry extension workers from department of forestry
"cholinga chake ndi kupatsa mphamvu anthu a m’dera la gvh chanika kupanga chiganizo ndi kutenga udindo komanso kupititsa patsogolo umodzi pa chitetezo, chisamaliro ndi kugwiritsa ntchito mosamala zinthu zonse zochokera m’nkhalango ya mu buloko ya chanika kuti adzapezenso zina mtsogolo","the aim is to empower the people of gvh chanika to make decisions and take responsibility for and promote collective action for protection, management and sustainable utilisation of their forest block"
izi ndi zogwirizana ndi mfundo ya zankhalango ya boma lamalawi imene idakhazikitsidwa m’chaka cha 1996,this is in line with the malawi national forestry policy of 1996
mfundoyi imanenetsa za kufunika kopatsaeni dera udindo waukulu wosamalira nkhalango ndi kukhala ndi mwayi womagwiritsa ntchito mitengo ndi zonse za m’nkhalangomo,which recognises the need for communities to be given a greater role in the management of forests and access to forest resource
"ndondomeko yokonzekera, kudziwitsana ndi kufunsira, komanso kukambirana pachikonzero chosamalira nkhalangoyi idavomerezedwa ndi anthu onse okhudzidwa m’derali","the output of the process of planning, consultation and negotiation is this block management plan which was agreed by key stakeholders of the area"
"ntchito yonseyi anthu amatengapo mbali ndi cholinga chokhazikitsa kusabisirana pa zochitika zonse, kuti chikonzekero chikhale chofuna anthu komanso kuti onse akalandire maudindo mosaona kuti ndi mkazi kapena mwamuna","the process was participatory with the aim of being people – centred, transparent, equitable and empowering"
ndondomekoyi imakhazikitsa malamulo oyenera ku anthu a derali ndiponso malamulo amene ndi osavuta kutsatira kuti athandize pa chitetezo ndi chisamaliro cha ntchito yoona za nkhalango m’dera la chanika komanso kuti pakhale phindu la lero ndiponso la mtsogolo,it includes resource use rules which are locally relevant and locally enforceable to assist protection and management of the block for both the present and future benefit of chanika community
kuteteza nthaka yonse yozungulira imene ndi gwero la mitsinje komanso imene imapereka madzi,to protect fragile and catchment areas
kuti pakhale chisamaliro chokwana pa udzu ndi msipu wosiyanasiyana umene umamera m’mphepete mwa mitsinje,to protect river line vegetation
kutukula miyoyo ya anthu okhala mwa gvh chanika popeza zinthu zogulitsa zochokera m’nkhalango,to improve the economic status of gvhchanika community through sales of forest products such as fuelwood and poles
kuti anthu azipanga zinthu zooneka bwino pogwiritsa ntchito mitengo ndi zina zochokera m’nkhalango,to produce forest products of high quality
kuteteza udzu ndi zomera zobiriwira za m’mphepete mwa timitsinje ndi cholinga chofuna kuti madzi aziyenda chaka chonse kuti anthu azigwiritsa ntchito pa ulimi wa mthirira ndi ntchito zina za makomo,to conserve river line vegetation so that water flow throughout the year for agriculture irrigation and domestic use
kuteteza kukokoloka kwa nthaka imene ili malo ozyolika [opendekeka kwambiri],to protect steep slopes
kulimbikitsa chitetezo ndi chisamaliro cha nyama za m’tchire ndi maluwa a m’thengo,to promote conservation of wild life and flora
