chichewa,english
"12,kukolana kwa zofuna za munthu ndi kampani kumachitika pamene zofuna zamunthu zikuwoneka kuti zikukhulana ndi zochita za kampani","12,a conflict of interest occurs when an individual’s private interest interferes– or has the appearance of interfering – with the interests of the company as a whole"
"13,"" kukolanaku kungathe kukula ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira apanga zinthu zimene zingapangitse kugwira ntchito kwake bwino bwino kuti kusokonezeke""","13,"" a conflict situation can arise if a director, officer, employee, or agent takes actions or has interests that may make it difficult to perform his or her job objectively and effectively"""
"14,"" mkangano ungakhalepo ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira kapena a pa banja lake alandila ma benefiti molingana ndi ntchito yake ku kampani""","14,"" conflicts of interest also arise if a director, officer, employee, agent or a member of his or her family, receives improper personal benefits as a result of his or her position with the company"""
"15,"" kugulitsa masheya, kuphumitsa kampani mwayi wa bizinesi, kupanga bizinesi ndi zina mwa zinthu zomwe zingapangitse kuti pakhale kukolana pakati pazofuna zanu ndi zakampani""","15,"" securities trading, corporate opportunities and outside employment, business interests & investments are examples of specific issue-areas where you may encounter conflicts of interest"""
"16,zinthu zomwe zingapangitse kuti pakhale kukolana zikuyenera kunenedwa polemba kalata kwa ccdcco kapena clo komanso mapepala ake onse akuyenera kuperekedwa molingana ndi malamulo","16,""potential conflicts of interest and related party transactions must be disclosed in writing to the ccd or clo, and properly documented per company policy"""
"17, kukhala ndi zinthu zopangitsa kuti pakhale kukolana sikuswa malamulo athu akagwiridwe ka ntchito koma kulephera kunena ku kampani za zinthuzo","17,"" having a conflict of interest is not necessarily a violation of our code of business conduct, but failing to disclose it is"""
"18,wotheka ndi wowona","18,potential or actual"
"19,"" zolengeza chiongola dzanja kapena zongoyerekeza, kusintha, zimene zinalengezedwa kale kapena zongoyerekeza;""","19,"" earnings announcements or estimates, or changes to previously released announcements or estimates;"""
"20, zotsatira za chuma;","20, financial results;"
"21, zolembedwa ndi zowonjezeredwa ku ngongole zamgonagona;","21, write-downs and additions to reserves for bad debts;"
"22, kukuza kapena kuchepetsa magwiridwe a ntchito;","22, expansion or downsizing of operations;"
"23,"" katundu wa tsopano, zopangidwa ndi zozindikiridwa mwatsopano;""","23,"" new products, inventions or discoveries;"""
"24, milandu yayikulu kapena zochita za boma","24, major litigation or government actions;"
"25,"" kuphatikizana zogulidwa, zonenera malonda, kugwirira ntchito limodzi ndi makampani ena kapena zosintha ku katundu wa kampani;""","25,"" mergers, acquisitions, tender offers, joint ventures or changes in assets;"""
"26,"" zosintha pa zimene akatswri ayamikira kapena mlingo wa ngongole; zichitochito zokhudza ma sheya a kampani (monga kulephera kwa kubwezera ma sheya, kuitanira ma sheya ogulitsidwa kuti kampani iwagulenso, mapulani ogulanso katundu wogawidwa, kusintha kwa cholowa, kusintha kwa umwini wa ma sheya;""","26, changes in analyst recommendations or debt ratings;"
"27, kusintha kwa oyendetsa kampani ndi njira zatsopano","27, events regarding the company’s securities"
"28, zokhudza kayendetsedwe ka kampani;","28, changes in control of the company or extraordinary management developments;"
"29, kubwereka ndalama kopitiriza muyeso;","29, extraordinary borrowing;"
"30, vuto la kapezedwe ka ndalama","30, liquidity problems; and"
"31, zosintha za ma auditor kapena chidziwitso cha kampani chochokera kwa auditor kuti kampani siyingadalirenso lipoti ya auditor","31, changes in auditors or auditor notification that the company may no longer rely on an audit report"
"32,ziphuphu ndi kuswa malamulo","32,""bribery is illegal, whether the bribe is offered to a government official (public sector bribery), or a private company or citizen (private sector bribery)"""
"33, zimaononga madera amene tikugwirako ntchito","33, it harms the communities where we operate"
"34, tikuyenera kutenga nawo mbali pa njira zothandiza kuthetsa ziphuphu","34, we must actively support efforts to stop bribery"
"35,aliyense wa ife ayenera kutsatira malamulo onse odana ndi ziphuphu","35,each of us must strictly comply with all domestic and extraterritorial anti-bribery laws"
"36, awa ndi malamulo a dziko limodzi amene amaletsa katangale mu mayiko ena","36, extraterritorial anti-bribery laws are the laws of one country that prohibit bribery in other countries"
"37,""ngakhale ziphuphu ndi kuswa malamulo ndikulakwira malamulo a kampani, chiphuphu chitaperekedwa kwa wogwira ntchito m’boma kapena munthu wamba, kasitomala kapena sapulaya, wogwira ntchito ku alliance one akuyenera kudziwa zimenezi""","37,""although bribery is illegal and against company policy regardless of whether the bribe is offered to a government official or a private citizen, customer or supplier, unique concerns exist in each instance that alliance one employees need to be aware of"""
"38,""ndalama zofanana ndi ndalama, kapena ma benefiti (ma travelling cheque ndi ma benefiti);""","38,""cash, cash equivalents, or other benefits (travelers checks, travel benefits);"""
"39, ntchito zopanga munthu yekha;","39, personal services;"
"40, ntchito kapena kupatsidwa","40, employment or the offer of employment;"
"41, kuthandiza wosowa ukudziwa kuti upindulepo;","41, charitable contributions for the benefit of the official;"
"42, zopereka kundale ; ndi","42, political contributions; and"
"43,"" kugwiritsa ntchito katundu wa kampani (kuphatikizapo ndege, nyumba, magalimoto, maboti, ndi zina zotere""","43,"" use of the company’s facilities (including but not limited to aircraft, houses, vehicles, boats, etc"""
"44,) ndi wogwira ntchito m’boma kapena a ntchito awo kuti atukule ndi kuwonetsa katundu wa kampani ndi ntchito zake","44,"") by government officials or their staff other than for purposes of promoting, demonstrating or explaining the company’s products or services"""
"45,kuba ndalama kumachitika pamene munthu atenga zimene wazipeza atalakwa kuti ziwoneke ngati sizinapezeke munjira yolakwika","45,money laundering occurs when persons try to make the proceeds of crime appear legitimate by filtering them through non-criminal ventures"
"46, malamulo a mu mayiko ambiri amaletsa dala kugwiritsa ntchito zinthu zimene zapezeka munjira yolakwika","46, laws in many countries prohibit acceptance or use of the proceeds of criminal activities"
"47, mukuyenera kutsatira malamulo onse amene akukamba za kuba ndalama ndi malamulo amene akufuna kuti inu munene pamene mwaona ndalama ndi zinthu zina zolakwika","47, you must comply with all applicable money laundering laws and laws that require reporting of cash and other suspicious transactions"
"48,"" mukuyenera kupeza zokwanira pa makasitomala, ma sapulaya ndi ena amene mukuchita nawo bizinesi kuti mudziwe kumene ndalama zawo zikuchokera kumabizinesi ovomerezeka""","48,"" you must use due diligence to obtain enough information about customers, suppliers, and others with whom you have business relationships to be satisfied that their money comes from legitimate business activities"""
"49, mukuyenera kutsatira malamulo onse okhudzana ndi ndalama","49, you must comply with all rules concerning acceptable forms of payment"
"50, ndi zosavomerezeka ndi malamulo a kampani kulandira ndalama ndi ma invoice","50, it is against company policy to accept cash payment of any invoice"
"51,"" ndipo ndi zosavomerezeka ndi lamulo la kampani, pokha pokha ngati pali china chake ndiponso ndi ulangizi wa zamalamulo wa kampani, kulandira ndalama monga ngati ma money order kapena ma travelling cheque kapena kulandira ndalama kwa amene simukumudziwa""","51,"" it is also against company policy, except under extraordinary circumstances with the approval of the ccd, to accept payments in cash equivalents such as money orders or travelers checks, or to accept checks from unknown third parties"""
"52, ngati ndalama zoterozo ndizovuta kuzipewa mulandire chilolezo kuchokera kwa ofisala wa ku kampani ndikutsatila zonse zimene zikugwilizana ndi malamulo a united states internal revenue service","52,"" if a cash or similar transaction is unavoidable, you must take care to comply with the detailed and complex reporting obligations associated with such transactions, including obligations imposed by the united states internal revenue service"""
"53,""mukuyenera kuwonetsetsa kuti makasitomala wonse, ma sapulaya, ndi ena wonse amene mumachita nawo bizinesi ali wololera kusunga zonse zoyenera ndikupereka malipoti""","53,""you must to the extent possible be sure all customers, suppliers, and others with whom you have a business relationship are willing to comply in full with all record keeping duties and are willing to accurately report all aspects of a transaction"""
"54,dziwani ndi kuchita monga mwa malamulo","54,know and live the standards"
"55, podziwa ndikumvetsetsa ndikulondola malamulo a kampaniwa ndi zimene zingatipangitse kukhala a chitsanzo","55,"" by knowing, understanding, and following applicable laws and company policies, as well as our core values, each of us can serve as a role model"""
"56,dziwani lamulo ndikufunsa mafunso","56,know the law and ask tough questions"
"57, mukuyenera kudziwa malamulo amene akukhudzana ndi ntchito ndi udindo wanu","57, you are expected to be familiar with the laws that apply to your specific job function and level of responsibility"
"58,"" ngati simukudziwa lamulo la kampani, ngati lilipo, funsani a cco kapena ccm a kampani yanu""","58,"" if you are not sure whether a law or company policy applies, or whether it exists at all, ask the company’s chief legal officer or ccd"""
"59,musamangoganizira zinthu","59,don’t make assumptions"
"60, musaganize kuti akulu akulu akudziwa kapena sakusamala za chinthu china choncho muyenera kufunsa kuti mudziwe","60, do not assume that management already knows or doesn’t care about an issue or situation"
"61,"" komanso, musaganize kuti china chake sichikonzedwa""","61,"" also, do not assume that no action will be taken"""
"62, akulu akulu a aoi ndi wodzipereka kuwonetsetsa kuti za malamulo zimene zikuyenera kuchitika zikutsatidwa","62, aoi management is dedicated to ensuring that the standards of legal and ethical behavior are upheld"
"63, tifuna mutiwuze ngati pena palakwika","63, we want you to tell us if something is wrong"
"64,""musangoyang’anira zolakwikazi, mukanene""","64,""don’t ignore violations, report them"""
"65, tikuyenera kuyika pa mtima malamulo akampani","65, we all need to take the law and company policies seriously"
"66,"" ngati mukuwona kuti wina akuphwanya malamulowa, tsatirani njira zoyenera kuti muzikonze""","66,"" if you think someone may be violating a law or policy, please take steps to address the situation"
"67,"" nenani kwa ccd a kampani kapena kwa manijala wowona za compliance wa mu dera lanu, wowona za audit mu bodi ya ma dayilekitala kapena yimbani foni panambala ya ulere (mobisa ngati simukufuna kudziwika)""","67, report it to management, the ccd, your local compliance manager, the audit committee of the board of directors, or the compliance helpline (anonymously if you wish)"""
"68,musakakamizidwe","68, don’t be pressured"
"69,"" sikololedwa kuphwanya lamulo, kapena kukakamizidwa kuti mutero – ngakhale kuphwanya lamulo kungathandize kuti mukwaniritse zolinga zanu""","69,"" it is never acceptable to violate a law or policy, nor should you ever feel encouraged or pressured to do so – even if you think the violation will improve the bottom line or help to meet a performance goal"""
"0,""tiyi ndi imodzi mwa mbewu zothandiza ku mwera ndi kum'mawa kwa afilika, ndipo imathandiza alimi ambiri kupeza ndalama""","0,""tea is one of the most important agricultural crops in east and southern africa, and is a source of income for countless smallholder farmers"""
"1,"" koma ngati alimi satsatira ndondomeko yoyenerera pa ulimi wa mbewuyi, chilengedwe, madzi ndi nthaka zimawonongeka, komanso ogwira ntchito pa mundapo amavutika""","1,"" however, if unsustainable practices are allowed to continue, they will contaminate the environment, exhaust the water or soil, and exploit the workers"""
"2, choncho ulimi wa tiyi umenewo si umapitiliranso","2,"" such way, tea production cannot be sustained in the long run"""
"3,kugwiritsa ntchito mankhwala si njira yokhayo yotetezela mbewu ku tizilombo ndi matenda","3,use of pesticide is not the only way to control pests and diseases"
"4,"" ngati tiyi akusamalidwa bwino mu afilika, atha kupilira ku tizilombo popanda kuthira mankhwala""","4,"" when tea bushes are maintained strong and healthy in africa, they should be able to outgrow short-term pest infestations, without applying chemicals"""
"5, kupopera mankhwala kukhoza kuwononga chitetezo cha mbewu ndikupangitsa kuti matenda ayambe","5, spraying would kill the natural enemies of pests and could allow epidemics to develop"
"6,"" mu gawo limeneli, tiphunziramo za m'mene tingapewere matenda ndi tizilombo""","6,"" in this section, we learn about how to manage pests and diseases in a sustainable way"""
"7,""ngati mwabzala phata latsopano la tiyi, musankhe mbewu za tiyi zomwe zimapilira ku matenda ndi tizilombo tomwe timaononga tiyi""","7,""when you plant a new tea bush, choose clones that are resistant to pests and diseases, such as mites and helopeltis"""
"8, ndibwino kubzala mbewu zambiri za tiyi osakhala imodzi yokha","8,"" it is better to plant several clones, instead of just one clone"""
"9,"" ngati mwabzala mbewu za tiyi zosiyana, muzibzale mtundu uliwonse padera kuti musavutike pozisamalira""","9,"" when planting several clones, plant them in blocks of pure stands for easier management"""
"10,""ngati mundawo unagwidapo ndi matenda owononga mizu, matendawa atha kukhala kuti atsalira mu mitengo imene idakali m'mundamo""","10,""if the field had been previously infested by a root disease, such as armillaria, the disease can still be hosted in the roots of remaining trees"""
"11,"" choncho, ndikoyenera kuti matendawa athetsedwe pogwiritsa ntchito njira yosadzula mitengo""","11,"" therefore, they need to be eliminated through a method called “ring barking” which is removal of the back around the tree to kill the pathogen in the roots"""
"12, iyi ndi njira imene mumasadzula makungwa a mtengo","12,""mulching and maintaining a good canopy prevent the light from reaching the ground, hence controlling the weed growth"""
"13,kuphimba tiyi komanso kuonetsetsa kuti phata la tiyi liri pa mlingo wabwino zimathandizila kuti dzuwa lisaombe pa nthaka","13, weeding with a hoe could damage the roots of the tea bushes"
"14, izi zimathandizira kuti zomera zosafunikira zisamele","14, it is better to pull out weeds by hand"
"15, ndibwino kupalira ndi manja chifukwa kupalira ndi khasu kumathanso kuwononga mizu ya tiyi","15,moles and rats that damage the roots of tea bushes"
"16,mbewa zomwe zimaononga mitsitsi ya tiyi","16,"" their damage can be prevented by digging trenches, and by planting molerepellent plants, such as tephrosia vogelli and tagetes minuta (mexican marigold), onion and garlic"""
"17, mbewa zikhoza kupewedwa pokumba mayenje komanso pobzala mbewu zina zimene zimathamangitsa tizilombo","17, avoid killing them"
"18,"" mbewu zimenezi ndi monga mthuthu (tephrosia vogelli- mtundu wa chomera umene umagwiritsidwa ntchito yopangila mankhwala a m'munda), tagetes minuta (mtundu wa chomera umene uli mgulu la mpendadzuwa), anyezi ndi adyo""","18,""if you see sunken lesions of woody tissue on stems and branches, these are signs of phomopsis infestation"""
"19,""ngati mukuwona kuti mitengo ili ndi ti zilonda pa tsinde ndi nthambi, dziwani kuti izi ndi zizindikiro za matenda owoletsa mitengo""","19, phomopsis is a fungal disease that enters through open wounds on stems and branches"
"20, awa ndi matenda amene amagwira mtengo kudzela mu tizilonda timene timadza chifukwa chakuti mtengo wakhapidwa","20, the wounds could have been caused by a hoe during manual weeding or by moles and rats"
"21, mtengo utha kukhapidwa pamene mukupalira ndi khasu komanso tizilombo ndi makoswe zitha kubowola mtengo","21,""to control helopeltis infestation, it is recommended to pluck all the young soft leaves and leave only the hard leaves in the field"""
"22,""kuti muthane ndi udzudzu wa tiyi, mukuyenera kutchola masamba anthete a tiyi ndikusiya masamba okhwima""","22, this method is called “hard plucking”"
"23,"" potchola masamba onse anthete amene amadyedwa ndi udzudzu wa tiyi, zimathandiza kuti udzudzuwu usapitilire""","23,"" by removing all the soft leaves that helopeltis can feed on, their population can be controlled"""
"24,"" kuti mupewe matenda a udzudzu wa tiyi, ndibwino kubzala mitundu ya mbewu ya tiyi imene imapilira ku udzudzu wa tiyi""","24,ladybirds are aphids’ natural enemies"
"25,mbalame zina zimadya tizilombo ndikuchepetsa chiwerengero chatizilomboti","25, ladybirds feed on aphids and control their population"
"26, mukapopela mankhwala tizilombo pamodzi ndi mbalame zomwe zimafa","26, spraying insecticide would kill not only aphids but also ladybirds"
"27,"" posapopela mankhwala, mumateteza mbalamezi zimene zimathandiza pochepetsa tizilombo""","27,"" by not spraying insecticide, you can protect ladybirds and maintain the natural control of aphids"""
"28,""mukatha kupopera mankhwala, muyenera kutsuka zipangizo zothiririra mankhwala ndi zozitetezera""","28,""after spraying chemicals, you need to wash your application equipment and personal protective clothing (ppe)"""
"29,"" madzi otsukira amatsalira mankhwala, ndiye ngati simusamala, akhoza kuononga chilengedwe""","29,"" water used to wash these equipment contains chemicals, so if you do not manage it properly, it would contaminate the environment"""
"30,""mukapopera mankhwala m'madimba a masamba, tsukani zida ndikuthira madzi m'dimba momwemo""","30,""when you spray vegetable fields, wash the equipment and pour the washing water back to the field"""
"31,""mukapopera mankhwala zifuyo, tsukani zida ndikutaya madzi mdzala/mdzenje""","31,""when you spray animals, wash the equipment and pour the washing water into a soak pit"""
"32, mdzenje muyenera kudzadza makala omwe amathandiza kuyeretsa madzi","32,"" a soak pit should be filled with charcoal, which helps to purify the water"""
"33, osadula mitengo yachilengedwe kuti mupange makala","33, do not cut down indigenous trees to make charcoal"
"34, kumbukiraninso kuchapa zovala zozitetezera","34, remember also to wash the protective clothing"
"35, madzi ochapira atayidwe monga tafotokozera pamwambapa","35, treat the washing water in the same way as described above"
"36,""ngati madzi okutha ntchito ali ochepa, akhoza kutayidwa mungalande yokumbidwa kumbuyo kwa dimba""","36,""domestic waste water, when its quantity is small, can be disposed by pouring into a canal dug in the backyard garden"""
"37, ngalande idzalidwe ndi nthochi ndi mizu yomwe imamwa madzi ambiri","37,"" the canal should be planted with bananas and arrow roots, both of which absorb water very well"""
"38,""mitengo ya bulugama imapereka nkhuni, koma ikabzalidwa pamalo ponyowa, mtsinje kapena chitsime, imamwa madzi ambiri mpaka kuumitsa madzi""","38,""eucalyptus trees are good source of fuel, but when they are planted near a wetland, river, stream or well, they absorb so much water that they can exhaust the water source"""
"39,"" ngati mtsinje kapena chitsime ziuma, zingathe kukhudza miyoyo ya apabanja panu ndi anthu amudera mwanu""","39,"" if a stream or well gets dried up, it would cause significant negative impacts on the lives of your family and people in your community"""
"40, tikuyenera kuteteza magwero a madzi","40, we need to protect the water sources"
"41,""madzi ndi moyo, choncho timafuna madzi okwanira pa miyoyo yathu""","41,""water is essential for our lives, and we need to secure sufficient supply of water for our living"""
"42, njira ina yopezera madzi yosavuta ndi kukolola madzi a mvula","42, harvesting rain water is an economic and efficient way to obtain water"
"43, mungakolole madzi a mvula amene amagwa pa denga nkuwasunga mu thanki","43,"" you can collect the rain water that falls on the roof, and keep it in a tank"""
"44, mukhoza kuwagwiritsa ntchito madzi amenewa mnyumba mwanu pokumwa koma mutawawiritsa kaye","44,"" you can use it in houses, and you can also use it for drinking after treating it or boiling it"""
"45,"" mvula ndi gwero lodalirika la madzi, choncho tidziwe mmene tingawagwiritsire ntchito madzi athuwo""","45,"" rain is an important source of water, and we should know how to use it well"""
"46,""kutentha kumaononga manyowa ndi tizilombo tobwezeretsa nthaka mudothi, zomwe zimagugitsa nthaka""","46,""burning destroys organic matter and microorganisms in the soil, and makes your soil poorer"""
"47, kutentha pokonza malo ndikoletsedwa","47, burning for preparing the land is prohibited"
"48,""mukhitchini mukakhala mopanda potulukira utsi, utsi otsala muchipinda ukhoza kudzetsa mavuto azaumoyo, kuononga mapapo ndi maso a ogwira ntchito ndi mabanja awo""","48,""when a kitchen does not have escape for the smoke, the smoke contained in the room would cause serious health effects, damaging the lungs and eyes of the workers and their families"""
"49, khitchini yapotulutsira utsi imateteza umoyo wawo ndipo imatukula miyoyo ya ogwira ntchito","49, a kitchen with a chimney protects their health and improves the workers’ quality of lives significantly"
"0,ndondomeko zimenezi zikukhudza malo onse ndipo ndikofunika kuti munthu aliyense ogwiritsa ntchito malowa atengepo gawo kuphatikizapo mafumu akuluakulu (ta) komanso unduna osiyanasiyana m'dziko ndi boma","0,""misuse of land through unstainable, inappropriate land uses or agricultural practices are negatively impacting on drinking, irrigation water and land productivity used by local and downstream communities"""
"1, izi ndi zomwe zachititsa kuti ndondomekozi zilembedwe mogwirizana ndi anthu ena onse okhudziwa","1, these negative impacts cannot easily be managed and only by working together and planning can efforts be focused on solutions to correct these practices that cause the problems"
"2,"" m'dziko la malawi, bungwe losamalira nthaka ya m'mphepete mwa chigwa cha mtsinje wa shire lotchedwa “shire river basin management program' ndi onse okhudzidwa m'dziko la malawi kutengapo gawo mogwirizana""","2,"" this type of planning applies to all sizes of catchment areas and requires the involvement for everyone from the individual land users, to traditional authorities and district and national ministries"""
"3, ndondomeko zimenezi zikufotokoza zokhudza zinthu za chilengedwe zomwezinapezeka ndi bungwe losamalira za chilengedwe lotchedwa 'malawi national environmental action plan' (neap) pa chingerezi","3,"" it is against this background that, the national guidelines were developed in consultation with many different stakeholders within the malawi government, shire river basin management program and stakeholders throughout malawi, and represent a substantial collaborative effort"""
"4,"" mwa mavutowa ndi monga kukokoloka kwa nthaka, kudula mitengo mosasamala, kuchepetsa ndi kuonongeka kwa madzi, kuonongeka kwa nsomba, chiopsezo ku zomera, kuchepa kwa malo okhala, kuchulukana kwa anthu, kuonongeka kwa mpweya komanso kusintha kwa nyengo""","4,"" these guidelines address the environmental issues identified in malawi's nationalenvironmental action plan (neap) which are: soil erosion, deforestation, water resourcesdegradation and depletion, threat to fish resources, threat to biodiversity, human habitatdegradation, high population growth, air pollution and climate change"""
"5,"" choncho zomwe zimapangitsa kuti chiwerengero cha anthu ndi umphawi zikule zimayenera kuti dziko litengepo gawo lalikulu, kuika malamulo poonetsetsa kuti ndondomeko zoikidwazi zitheke ndi kutsatidwa""","5,"" however theunderlying causes of population growth and poverty require greater governmental input,policy and regulation than the scope of these guidelines"""
"6,""magawo 6 a ndime imeneyi ndi : nkhalango, usodzi, madambo, kusamala zomera, magetsi, ndi kusamala zinyalala""","6,""the six components of this chapter are: forestry, fishing, wetlands (dambos), alien and invasive plant management, energy, and waste management"""
"7,""zolinga zing'onozing'ono 7 zomwe zagawidwa mu ndime imeneyi ndi kugwiritsa ntchito madzi moyenera, kukolola madzi ndi kuwagwiritsanso ntchito kukolola madzi, kusunga madzi ochepa, madamu ang'onang'ono, kusefa, ndi ulimi othirira pa malo ochepa""","7,""the seven sub-themes grouped under this chapter are: water use efficiency, water harvesting and recycling, water harvesting, micro water storage, small dams, infiltration, and small scale irrigation"""
",0",",0"
"0, ulamuliro pa chisamaliro cha nkhalango","0,managing authority"
"1,kufotokozera za nkhalango","1,forest description"
"2,kufotokozera mwachidule","2, general description"
"3, zomera zosiyanasiyana za m’derali","3, vegetation"
"4, mitundu ya dothi losiyanasiyana","4, soils"
"5, malire","5, boundary"
"6, umwini wa malo","6, tenure"
"7, ogwiritsa ntchito nkhalango","7, forest users"
"8, timadera tachisamaliro cha nkhalango (fmus)","8, forest management units"
"9, zolinga zazikuluzikulu zolunjika kwenikweni dera losakololeka ndi  lokololeka m’nkhalango","9, main objectives of non harvestable and harvestable areas"
"10, zolinga zocheperapo zolunjika kwenikweni dera lokololeka ndi lokololeka m’nkhalango","10, specific objectives of non harvestable and harvestable areas"
"11, zolinga za chisamaliro cha nkhalango","11, management objectives"
"12, cholinga chachikulu","12, overall objective"
"13, zolinga zocheperapo koma zolunjika kwenikweni ntchito ya chisamaliro cha nkhalango","13,specific objectives"
"14,malamulo a chisamaliro cha phindu lochokera m’nkhalango","14, resource use rules"
"15,chikonzero cha kagwiridwe kantchito","15, forest management practices for chanika block"
"16, ndondomeko ya m’mene anthu akhoza kulondera/kuyendera","16, action plan"
"17,gome  chikonzero cha m’mene ntchito yolondera nkhalango idzayendere","17, patrolling plan"
"18,gome  kauniuni wa ndondomeko zofunika kutsatidwa monga mwa chikonzero","18, monitoring and evaluation plan"
"19, kufotokozera ntchito ya chikonzero cha kayendetsedwe ka zinthu zochokera m’nkhalango padera- padera","19, management plans for each use"
"20, ndondomeko ya chisamaliro cha mitengo ya nkhun","20,management plan for fuel wood"
"21, wamkulu wa zankhalango mu boma (la ntchisi)","21,district forestry officer/office"
"22, mwinimtunda/ (chalo/ gogo)","22,traditional authority"
"23, ndondomeko yotukula kasamalidwe ka nkhalango kuti pakhale kupititsa patsogolo umoyo wa anthu","23,improved forest management for sustainable livelihood programme"
"24, bungwe la umodzi wa azungu","24,european union"
"25, midzi yoona za chisamaliro cha nkhalango","25,forest manage ment unit"
"26, bungwe la kumudzi la zankhalango","26,local forest organisation"
"27, nthambi ya maofesi a zankhalango (dipatimenti yoona zankhalango)","27,forest department"
"28, bungwe la chigawo chachikulu losamalira za nkhalango (bmc)","28, block management committee"
"29, mfumu ya m’mudzi","29,village head"
"30, dera alilkulu la chionjezero pa chikonzekero cha ntchito za ulimi","30,extension planning area"
"31, bungwe loyang’anira chisamaliro cha nkhalango","31,local forest management board"
"32, kagawo kolumikiza m’ndandanda wa zintchito zoyendetsera nkhalango","32,programme cordinating unit"
"33, mfumu yoyang’anira midzi ingapo","33,group village head"
"34, bungwe limene silili la boma","34,non governmental organisation"
"35, bungwe la m’mudzi loyang’anira zachilengedwe","35,village natural resource management committee"
"36, gulu la mamembala ogwiritsa ntchito nkhalango","36, forest user group"
"37,""ndondomeko ino ili kuphera mphongo kukambirana, kuunika, kudziwitsana ndi kufunsira ndiponso kukonzekera kumene kunalipo ndi anthu a dera la chanika""","37,""this document is the summary of a process of joint discussion, analysis, consultation, negotiation and planning by the communityof chanika"""
"38,ntchitoyi idatsogoleredwa ndi ogwira ntchito ku ofesi yoona za nkhalango ochokera ku dipatimenti yoona za nkhalango","38,facilitation was done by forestry extension workers from department of forestry"
